ImageFile,targ_side,correctAnswer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/exp1a_trial_51_colour1_distractors31_l.png,l,1,0,27,27,51,,,,,,,53.12892899988219,None,1,1,0.6472327001392841,53.12892899988219,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_82_colour1_distractors19_l.png,l,1,0,28,28,82,,,,,,,53.87776720011607,None,1,1,0.6668234001845121,53.87776720011607,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_2_colour1_distractors9_r.png,r,2,0,29,29,2,,,,,,,54.60886949999258,None,2,1,0.7745686997659504,54.60886949999258,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_49_colour1_distractors9_l.png,l,1,0,30,30,49,,,,,,,55.4656166001223,None,1,1,0.6219205004163086,55.4656166001223,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_26_colour3_distractors4_l.png,l,1,0,31,31,26,,,,,,,56.20838310010731,None,1,1,0.6550249001011252,56.20838310010731,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_94_colour0_distractors0_r.png,r,2,0,32,32,94,,,,,,,56.93383109988645,None,2,1,0.8575061000883579,56.93383109988645,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_34_colour1_distractors9_r.png,r,2,0,33,33,34,,,,,,,57.87679390003905,None,2,1,0.7551696998998523,57.87679390003905,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_54_colour2_distractors9_l.png,l,1,0,34,34,54,,,,,,,58.73998800013214,None,1,1,1.0758793000131845,58.73998800013214,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_69_colour2_distractors1_r.png,r,2,0,35,35,69,,,,,,,59.883920799940825,None,2,1,0.7396488999947906,59.883920799940825,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_6_colour2_distractors4_r.png,r,2,0,36,36,6,,,,,,,60.70759700005874,None,2,1,0.6764092999510467,60.70759700005874,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
