trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ImageFile,targ_side,correctAnswer,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,space,2.1206565001048148,16.250788799952716,None,,,1,001,2020_Oct_09_1135,searchDisc,2020.2.4,59.96591530966746,
,,,,,,,,,,,11.298543099779636,None,,,,,,,
