trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ImageFile,targ_side,correctAnswer,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,space,0.3565882002003491,16.496735599823296,None,,,,,,,,,,1,001,2020_Oct_09_1157,searchDisc,2020.2.4,59.85672696230966,
,,,,,,,,,,,11.52500079991296,None,17.040963999927044,None,1,1,2.309269200079143,17.040963999927044,None,,,,,,,
