ImageFile,targ_side,correctAnswer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image_3.started,image_3.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,14.741378800012171,None,space,2.427830299944617,15.701023800065741,None,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_03_1048,searchDisc3,2020.2.4,60.345805610187135,
,,,,,,,,,,,,,18.167133899987675,None,space,2.106719999923371,19.150157100055367,None,,,,,,,,,,,,,,1,001,2020_Dec_03_1048,searchDisc3,2020.2.4,60.345805610187135,
images/exp1a_trial_14_colour3_distractors31_r.png,r,2,0,0,0,14,,,,,,,,,,,,,18.167133899987675,None,18.167133899987675,None,21.52088480000384,None,2,1,1.3439800000051036,21.52088480000384,None,22.910076200030744,None,1,001,2020_Dec_03_1048,searchDisc3,2020.2.4,60.345805610187135,
images/exp1a_trial_9_colour2_distractors31_r.png,r,2,0,1,1,9,,,,,,,,,,,,,,,,,23.956078100018203,None,2,1,0.7728998999809846,23.956078100018203,None,24.749898900045082,None,1,001,2020_Dec_03_1048,searchDisc3,2020.2.4,60.345805610187135,
images/exp1a_trial_6_colour2_distractors4_r.png,r,2,0,2,2,6,,,,,,,,,,,,,,,,,25.8033618000336,None,2,1,0.645995199913159,25.8033618000336,None,26.466398200020194,None,1,001,2020_Dec_03_1048,searchDisc3,2020.2.4,60.345805610187135,
images/exp1a_trial_12_colour3_distractors9_r.png,r,2,0,3,3,12,,,,,,,,,,,,,,,,,27.51790219999384,None,2,1,0.9231641000369564,27.51790219999384,None,28.466377699980512,None,1,001,2020_Dec_03_1048,searchDisc3,2020.2.4,60.345805610187135,
images/exp1a_trial_10_colour3_distractors1_r.png,r,2,0,4,4,10,,,,,,,,,,,,,,,,,29.50448340002913,None,2,1,0.8245416999561712,29.50448340002913,None,30.349311299971305,None,1,001,2020_Dec_03_1048,searchDisc3,2020.2.4,60.345805610187135,
images/exp1a_trial_15_colour1_distractors1_l.png,l,1,0,5,5,15,,,,,,,,,,,,,,,,,31.400372000061907,None,1,1,0.7445168000413105,31.400372000061907,None,32.16595130006317,None,1,001,2020_Dec_03_1048,searchDisc3,2020.2.4,60.345805610187135,
images/exp1a_trial_2_colour1_distractors9_r.png,r,2,0,6,6,2,,,,,,,,,,,,,,,,,33.217118600034155,None,2,1,0.735867099952884,33.217118600034155,None,33.98233609995805,None,1,001,2020_Dec_03_1048,searchDisc3,2020.2.4,60.345805610187135,
