ImageFile,targ_side,correctAnswer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/exp1a_trial_65_colour1_distractors4_r.png,r,2,0,25,25,65,32.49472760001663,None,2,0.07143080001696944,32.49472760001663,None,32.59575739991851,None,space,0.1860789000056684,32.59575739991851,None,2,001,2020_Oct_08_1359,searchDisc,2020.2.4,59.9562439629265,
images/exp1a_trial_44_colour3_distractors9_r.png,r,2,0,26,26,44,32.856303000007756,None,2,0.03722659999039024,32.856303000007756,None,32.91200809995644,None,space,0.21394709998276085,32.91200809995644,None,2,001,2020_Oct_08_1359,searchDisc,2020.2.4,59.9562439629265,
images/exp1a_trial_49_colour1_distractors9_l.png,l,1,0,27,27,49,33.18885599996429,None,2,0.0248390999622643,33.18885599996429,None,33.245285099954344,None,space,0.2085549000184983,33.245285099954344,None,2,001,2020_Oct_08_1359,searchDisc,2020.2.4,59.9562439629265,
images/exp1a_trial_56_colour2_distractors31_l.png,l,1,0,28,28,56,33.52384089992847,None,2,0.025863800081424415,33.52384089992847,None,33.578867099946365,None,space,0.1869674000190571,33.578867099946365,None,2,001,2020_Oct_08_1359,searchDisc,2020.2.4,59.9562439629265,
images/exp1a_trial_73_colour2_distractors31_r.png,r,2,0,29,29,73,33.8412185999332,None,2,0.012564299977384508,33.8412185999332,None,33.87897899991367,None,space,0.16686359990853816,33.87897899991367,None,2,001,2020_Oct_08_1359,searchDisc,2020.2.4,59.9562439629265,
images/exp1a_trial_30_colour0_distractors0_r.png,r,2,0,30,30,30,34.105086499941535,None,2,0.03659280005376786,34.105086499941535,None,34.161803300026804,None,space,0.17184600001201034,34.161803300026804,None,2,001,2020_Oct_08_1359,searchDisc,2020.2.4,59.9562439629265,
images/exp1a_trial_89_colour3_distractors1_l.png,l,1,0,31,31,89,34.404876600019634,None,2,0.03276550001464784,34.404876600019634,None,34.46242220001295,None,space,0.16734609997365624,34.46242220001295,None,2,001,2020_Oct_08_1359,searchDisc,2020.2.4,59.9562439629265,
images/exp1a_trial_17_colour1_distractors9_l.png,l,1,0,32,32,17,34.67817849991843,None,2,0.03134510002564639,34.67817849991843,None,34.7285150999669,None,space,0.1654766999417916,34.7285150999669,None,2,001,2020_Oct_08_1359,searchDisc,2020.2.4,59.9562439629265,
images/exp1a_trial_82_colour1_distractors19_l.png,l,1,0,33,33,82,34.95807119994424,None,2,0.0396459000185132,34.95807119994424,None,35.02848749991972,None,space,0.15323209995403886,35.02848749991972,None,2,001,2020_Oct_08_1359,searchDisc,2020.2.4,59.9562439629265,
images/exp1a_trial_37_colour2_distractors1_r.png,r,2,0,34,34,37,35.24535340000875,None,2,0.048733399948105216,35.24535340000875,None,35.31186659995001,None,space,0.15789880009833723,35.31186659995001,None,2,001,2020_Oct_08_1359,searchDisc,2020.2.4,59.9562439629265,
