ImageFile,targ_side,correctAnswer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image_3.started,image_3.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/exp1a_trial_19_colour1_distractors31_l.png,l,1,0,16,16,19,,,,,,,,,,,,,,,,,,,,,47.56829085032223,None,1,1,0.8690077106584795,47.56829085032223,None,,,,,,,,,,,,,,,,,,,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_1_colour1_distractors4_r.png,r,2,0,17,17,1,,,,,,,,,,,,,,,,,,,,,48.535896136192605,None,2,1,0.5814213431440294,48.535896136192605,None,,,,,,,,,,,,,,,,,,,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_18_colour1_distractors19_l.png,l,1,0,18,18,18,,,,,,,,,,,,,,,,,,,,,49.219879834214225,None,1,1,0.6654676328180358,49.219879834214225,None,,,,,,,,,,,,,,,,,,,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_8_colour2_distractors19_r.png,r,2,0,19,19,8,,,,,,,,,,,,,,,,,,,,,49.987408064480405,None,2,1,0.6819673883728683,49.987408064480405,None,,,,,,,,,,,,,,,,,,,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.75481277535437,None,space,11.422163918497972,55.743239394621924,None,,,,,,,,,,,,,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_87_colour2_distractors19_l.png,l,1,,,,,0,0,0,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.28769548697164,None,1,1,3.8136268742382526,67.28769548697164,None,None,None,None,None,None,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_6_colour2_distractors4_r.png,r,2,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.25848699652124,None,2,1,1.450823931780178,71.25848699652124,None,None,None,None,None,None,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_92_colour3_distractors19_l.png,l,1,,,,,0,2,2,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.84323760261759,None,1,1,0.6822198670706712,72.84323760261759,None,None,None,None,None,None,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_8_colour2_distractors19_r.png,r,2,,,,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.6439794228063,None,2,1,0.913338043668773,73.6439794228063,None,None,None,None,None,None,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_43_colour3_distractors4_r.png,r,2,,,,,0,4,4,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.67842980643036,None,2,1,0.8468727840227075,74.67842980643036,None,None,None,None,None,None,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_63_colour0_distractors0_l.png,l,1,,,,,0,5,5,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.64597909257282,None,1,1,0.7355043942225166,75.64597909257282,None,None,None,None,None,None,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_26_colour3_distractors4_l.png,l,1,,,,,0,6,6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.49680577637628,None,1,1,0.8765820718836039,76.49680577637628,None,None,None,None,None,None,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_95_colour0_distractors0_l.png,l,1,,,,,0,7,7,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.49792833061656,None,1,1,0.7873668486718088,77.49792833061656,None,None,None,None,None,None,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_15_colour1_distractors1_l.png,l,1,,,,,0,8,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.41540267312666,None,1,1,0.8383230678155087,78.41540267312666,None,None,None,None,None,None,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_34_colour1_distractors9_r.png,r,2,,,,,0,9,9,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3830229989253,None,2,1,0.9745508502819575,79.3830229989253,None,None,None,None,None,None,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_37_colour2_distractors1_r.png,r,2,,,,,0,10,10,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.484089041478,None,2,1,1.0732917847344652,80.484089041478,None,None,None,None,None,None,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_83_colour1_distractors31_l.png,l,1,,,,,0,11,11,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.68527265137527,None,1,1,0.8640845358604565,81.68527265137527,None,None,None,None,None,None,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_40_colour2_distractors19_r.png,r,2,,,,,0,12,12,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.68636320583755,None,2,1,0.7428934763884172,82.68636320583755,None,None,None,None,None,None,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_86_colour2_distractors9_l.png,l,1,,,,,0,13,13,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.55396036372986,None,1,1,0.9233290325501002,83.55396036372986,None,None,None,None,None,None,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_71_colour2_distractors9_r.png,r,2,,,,,0,14,14,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.60480074340012,None,2,1,0.6326143610058352,84.60480074340012,None,None,None,None,None,None,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_73_colour2_distractors31_r.png,r,2,,,,,0,15,15,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.35571881872602,None,2,1,1.0496797456289642,85.35571881872602,None,None,None,None,None,None,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_36_colour1_distractors31_r.png,r,2,,,,,0,16,16,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.52343891997589,None,2,1,0.8181062113144435,86.52343891997589,None,None,None,None,None,None,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_22_colour2_distractors9_l.png,l,1,,,,,0,17,17,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.45780085603474,None,1,1,0.6916095789638348,87.45780085603474,None,None,None,None,None,None,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
images/exp1a_trial_27_colour3_distractors9_l.png,l,1,,,,,0,18,18,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.27510131150484,None,2,0,0.5462394432979636,88.27510131150484,None,None,None,None,None,None,1,001,2020_Oct_13_1448,searchDisc,2020.2.2,59.89385903904526,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.94242493476486,None,1,1,1.05556259554578,88.94242493476486,None,,,,,,,,,,,,
