ImageFile,targ_side,correctAnswer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,8.072117070725653,None,space,0.6379388137720525,13.043993054772727,None,,,,,,,,,,,,,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_82_colour1_distractors19_l.png,l,1,0,0,0,82,,,,,,,13.827731762023177,None,1,1,1.1185065932804719,13.827731762023177,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_7_colour2_distractors9_r.png,r,2,0,1,1,7,,,,,,,15.078981035621837,None,2,1,0.32297946634935215,15.078981035621837,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_69_colour2_distractors1_r.png,r,2,0,2,2,69,,,,,,,15.529583208553959,None,1,0,0.24037764925742522,15.529583208553959,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_24_colour2_distractors31_l.png,l,1,0,3,3,24,,,,,,,15.896454610163346,None,2,0,0.16949801216833293,15.896454610163346,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_9_colour2_distractors31_r.png,r,2,0,4,4,9,,,,,,,16.213497786899097,None,1,0,0.1723536775680259,16.213497786899097,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_71_colour2_distractors9_r.png,r,2,0,5,5,71,,,,,,,16.51389080885565,None,2,1,0.19197629706468433,16.51389080885565,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_30_colour0_distractors0_r.png,r,2,0,6,6,30,,,,,,,16.83070582675282,None,1,0,0.19528380018891767,16.83070582675282,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_17_colour1_distractors9_l.png,l,1,0,7,7,17,,,,,,,17.147750603500754,None,2,0,0.18215714738471434,17.147750603500754,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_10_colour3_distractors1_r.png,r,2,0,8,8,10,,,,,,,17.448143305489793,None,1,0,0.1859622478368692,17.448143305489793,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_75_colour3_distractors4_r.png,r,2,0,9,9,75,,,,,,,17.76496952335583,None,2,1,0.18891487270593643,17.76496952335583,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_34_colour1_distractors9_r.png,r,2,0,10,10,34,,,,,,,18.082038299937267,None,1,0,0.18382625881349668,18.082038299937267,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_89_colour3_distractors1_l.png,l,1,0,11,11,89,,,,,,,18.382299802615307,None,2,0,0.1877164788893424,18.382299802615307,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_50_colour1_distractors19_l.png,l,1,0,12,12,50,,,,,,,18.699152900313493,None,1,1,0.19881274207727984,18.699152900313493,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_49_colour1_distractors9_l.png,l,1,0,13,13,49,,,,,,,19.01617879717378,None,2,0,0.1857686488656327,19.01617879717378,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_22_colour2_distractors9_l.png,l,1,0,14,14,22,,,,,,,19.33333781332476,None,1,1,0.19667515304172412,19.33333781332476,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_67_colour1_distractors19_r.png,r,2,0,15,15,67,,,,,,,19.650159551179968,None,2,1,0.18417537701316178,19.650159551179968,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_44_colour3_distractors9_r.png,r,2,0,16,16,44,,,,,,,19.95044537371723,None,1,0,0.2275901947868988,19.95044537371723,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_64_colour1_distractors1_r.png,r,2,0,17,17,64,,,,,,,20.30078725994099,None,2,1,0.18111043272074312,20.30078725994099,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_4_colour1_distractors31_r.png,r,2,0,18,18,4,,,,,,,20.6177779569407,None,1,0,0.21620753302704543,20.6177779569407,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_6_colour2_distractors4_r.png,r,2,0,19,19,6,,,,,,,20.951601527805906,None,2,1,0.17029704811284319,20.951601527805906,None,21.185122252150904,None,space,21.185122252150904,None,1.4889107767376117,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_58_colour3_distractors4_l.png,l,1,0,20,20,58,,,,,,,22.78660173260141,None,2,0,0.4394489499973133,22.78660173260141,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_29_colour3_distractors31_l.png,l,1,0,21,21,29,,,,,,,23.353992107557133,None,1,1,0.3043110819417052,23.353992107557133,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
images/exp1a_trial_46_colour3_distractors31_r.png,r,2,0,22,22,46,,,,,,,23.787565887672827,None,2,1,0.1023335560457781,23.787565887672827,None,None,None,None,None,None,,2,001,2020_Oct_13_1218,searchDisc,2020.2.2,59.89018591335345,
