ImageFile,targ_side,correctAnswer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/exp1a_trial_59_colour3_distractors9_l.png,l,1,0,0,0,59,9.310440396424383,None,1,1,2.365190998534672,9.310440396424383,None,11.779406564775854,None,space,1.0881423348328099,11.779406564775854,None,2,001,2020_Oct_08_2103,searchDisc,2020.2.2,59.95619876667597,
images/exp1a_trial_47_colour1_distractors1_l.png,l,1,0,1,1,47,12.99731842149049,None,1,1,0.5420958232134581,12.99731842149049,None,13.597934416495264,None,space,0.565517715876922,13.597934416495264,None,2,001,2020_Oct_08_2103,searchDisc,2020.2.2,59.95619876667597,
images/exp1a_trial_12_colour3_distractors9_r.png,r,2,0,2,2,12,14.24862457101699,None,1,0,0.9548224414465949,14.24862457101699,None,15.266471468261443,None,space,0.5691413668682799,15.266471468261443,None,2,001,2020_Oct_08_2103,searchDisc,2020.2.2,59.95619876667597,
images/exp1a_trial_46_colour3_distractors31_r.png,r,2,0,3,3,46,15.950256717973389,None,1,0,0.4293933648150414,15.950256717973389,None,16.434054447570816,None,space,0.5377892976393923,16.434054447570816,None,2,001,2020_Oct_08_2103,searchDisc,2020.2.2,59.95619876667597,
images/exp1a_trial_58_colour3_distractors4_l.png,l,1,0,4,4,58,17.084556763526052,None,1,1,0.358858889201656,17.084556763526052,None,17.501756945974194,None,space,0.46171214629430324,17.501756945974194,None,2,001,2020_Oct_08_2103,searchDisc,2020.2.2,59.95619876667597,
images/exp1a_trial_62_colour0_distractors0_r.png,r,2,0,5,5,62,18.06881064956542,None,1,0,0.39071783423423767,18.06881064956542,None,18.51953216374386,None,space,0.4439004488522187,18.51953216374386,None,2,001,2020_Oct_08_2103,searchDisc,2020.2.2,59.95619876667597,
images/exp1a_trial_88_colour2_distractors31_l.png,l,1,0,6,6,88,19.069779921788722,None,1,1,0.32568507455289364,19.069779921788722,None,19.45351029187441,None,space,0.47821089427452534,19.45351029187441,None,2,001,2020_Oct_08_2103,searchDisc,2020.2.2,59.95619876667597,
images/exp1a_trial_19_colour1_distractors31_l.png,l,1,0,7,7,19,20.03757537936326,None,1,1,1.2538997287629172,20.03757537936326,None,21.355790113680996,None,space,0.9278527371352538,21.355790113680996,None,2,001,2020_Oct_08_2103,searchDisc,2020.2.2,59.95619876667597,
images/exp1a_trial_13_colour3_distractors19_r.png,r,2,0,8,8,13,22.389743122039363,None,1,0,0.3898071215953678,22.389743122039363,None,22.840342077310197,None,space,0.44316093472298235,22.840342077310197,None,2,001,2020_Oct_08_2103,searchDisc,2020.2.2,59.95619876667597,
images/exp1a_trial_11_colour3_distractors4_r.png,r,2,0,9,9,11,23.39073159417603,None,1,0,0.3327474179677665,23.39073159417603,None,23.774720842251554,None,space,0.4211652707308531,23.774720842251554,None,2,001,2020_Oct_08_2103,searchDisc,2020.2.2,59.95619876667597,
images/exp1a_trial_95_colour0_distractors0_l.png,l,1,0,10,10,95,24.308286813669838,None,1,1,0.3833588531706482,24.308286813669838,None,24.742361741140485,None,space,0.4211431908188388,24.742361741140485,None,2,001,2020_Oct_08_2103,searchDisc,2020.2.2,59.95619876667597,
,,,,,,,25.29278485768009,None,1,0,0.34262381901498884,25.29278485768009,None,,,,,,,,,,,,,
