ImageFile,targ_side,correctAnswer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/exp1a_trial_34_colour1_distractors9_r.png,r,2,0,35,35,34,,,,,,,37.95449271297548,None,2,1,0.26928342127939686,37.95449271297548,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_57_colour3_distractors1_l.png,l,1,0,36,36,57,,,,,,,38.35508778196527,None,1,1,0.2208407893194817,38.35508778196527,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_52_colour2_distractors1_l.png,l,1,0,37,37,52,,,,,,,38.70543798815925,None,2,0,0.2542569382349029,38.70543798815925,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_90_colour3_distractors4_l.png,l,1,0,38,38,90,,,,,,,39.088975544436835,None,1,1,0.20674678141949698,39.088975544436835,None,39.35621609620284,None,space,0.9479621864156798,39.35621609620284,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_41_colour2_distractors31_r.png,r,2,0,39,39,41,,,,,,,40.40691503661219,None,1,0,0.32088379707420245,40.40691503661219,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_62_colour0_distractors0_r.png,r,2,0,40,40,62,,,,,,,40.85739305015886,None,2,1,0.23847813898464665,40.85739305015886,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_6_colour2_distractors4_r.png,r,2,0,41,41,6,,,,,,,41.2244324508938,None,1,0,0.1914438198436983,41.2244324508938,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_20_colour2_distractors1_l.png,l,1,0,42,42,20,,,,,,,41.54136682819808,None,2,0,0.2665909550851211,41.54136682819808,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_83_colour1_distractors31_l.png,l,1,0,43,43,83,,,,,,,41.925299262453336,None,1,1,0.19445596437435597,41.925299262453336,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_49_colour1_distractors9_l.png,l,1,0,44,44,49,,,,,,,42.24205604067538,None,2,0,0.29368169634835795,42.24205604067538,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_59_colour3_distractors9_l.png,l,1,0,45,45,59,,,,,,,42.659168465062976,None,1,1,0.20457047258969396,42.659168465062976,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_69_colour2_distractors1_r.png,r,2,0,46,46,69,,,,,,,42.99279395688791,None,2,1,0.20711573958396912,42.99279395688791,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_2_colour1_distractors9_r.png,r,2,0,47,47,2,,,,,,,43.326569207943976,None,1,0,0.23311752639710903,43.326569207943976,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
