ImageFile,targ_side,correctAnswer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/exp1a_trial_12_colour3_distractors9_r.png,r,2,0,17,17,12,,,,,,,,,,,,,,,,,,,26.253035504487343,None,2,1,0.01924246147973463,26.253035504487343,None,,,,,,,,,,,,,,,,,,,1,001,2020_Oct_13_1411,searchDisc,2020.2.2,59.89982883716722,
images/exp1a_trial_18_colour1_distractors19_l.png,l,1,0,18,18,18,,,,,,,,,,,,,,,,,,,26.38632026204141,None,1,1,0.1978949867771007,26.38632026204141,None,,,,,,,,,,,,,,,,,,,1,001,2020_Oct_13_1411,searchDisc,2020.2.2,59.89982883716722,
images/exp1a_trial_9_colour2_distractors31_r.png,r,2,0,19,19,9,,,,,,,,,,,,,,,,,,,26.686616004561074,None,2,1,0.12162977724801749,26.686616004561074,None,,,,,,,,,,,,,,,,,,,1,001,2020_Oct_13_1411,searchDisc,2020.2.2,59.89982883716722,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.903521454019938,None,space,0.12441056303214282,31.89205303270137,None,,,,,,,,,,,,,1,001,2020_Oct_13_1411,searchDisc,2020.2.2,59.89982883716722,
images/exp1a_trial_54_colour2_distractors9_l.png,l,1,,,,,0,0,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.14208183257142,None,1,1,0.9780977121554315,32.14208183257142,None,None,None,None,None,None,1,001,2020_Oct_13_1411,searchDisc,2020.2.2,59.89982883716722,
images/exp1a_trial_55_colour2_distractors19_l.png,l,1,,,,,0,1,1,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.24314531509299,None,2,0,0.1888511930592358,33.24314531509299,None,None,None,None,None,None,1,001,2020_Oct_13_1411,searchDisc,2020.2.2,59.89982883716722,
images/exp1a_trial_9_colour2_distractors31_r.png,r,2,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.560107852274086,None,2,1,0.08808274904731661,33.560107852274086,None,None,None,None,None,None,1,001,2020_Oct_13_1411,searchDisc,2020.2.2,59.89982883716722,
images/exp1a_trial_41_colour2_distractors31_r.png,r,2,,,,,0,3,3,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.776943222095724,None,1,0,0.11928034928860143,33.776943222095724,None,None,None,None,None,None,1,001,2020_Oct_13_1411,searchDisc,2020.2.2,59.89982883716722,
images/exp1a_trial_85_colour2_distractors4_l.png,l,1,,,,,0,4,4,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.04391433519777,None,2,0,0.16435691848164424,34.04391433519777,None,None,None,None,None,None,1,001,2020_Oct_13_1411,searchDisc,2020.2.2,59.89982883716722,
images/exp1a_trial_52_colour2_distractors1_l.png,l,1,,,,,0,5,5,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.34420719766058,None,1,1,0.10441930533852428,34.34420719766058,None,None,None,None,None,None,1,001,2020_Oct_13_1411,searchDisc,2020.2.2,59.89982883716722,
images/exp1a_trial_4_colour1_distractors31_r.png,r,2,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.57777432183502,None,2,1,0.15829262958141044,34.57777432183502,None,None,None,None,None,None,1,001,2020_Oct_13_1411,searchDisc,2020.2.2,59.89982883716722,
images/exp1a_trial_0_colour1_distractors1_r.png,r,2,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.82822807948105,None,1,0,0.18008611793629825,34.82822807948105,None,None,None,None,None,None,1,001,2020_Oct_13_1411,searchDisc,2020.2.2,59.89982883716722,
images/exp1a_trial_49_colour1_distractors9_l.png,l,1,,,,,0,8,8,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.12827454326907,None,2,0,0.1599819008843042,35.12827454326907,None,None,None,None,None,None,1,001,2020_Oct_13_1411,searchDisc,2020.2.2,59.89982883716722,
images/exp1a_trial_43_colour3_distractors4_r.png,r,2,,,,,0,9,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.411970050714444,None,1,0,0.11624836479313672,35.411970050714444,None,None,None,None,None,None,1,001,2020_Oct_13_1411,searchDisc,2020.2.2,59.89982883716722,
images/exp1a_trial_58_colour3_distractors4_l.png,l,1,,,,,0,10,10,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.645623894408345,None,2,0,0.2105272421031259,35.645623894408345,None,None,None,None,None,None,1,001,2020_Oct_13_1411,searchDisc,2020.2.2,59.89982883716722,
