ImageFile,targ_side,correctAnswer,n,image.started_mean,image.started_raw,image.started_std,image.stopped_raw,key_resp_4.corr_mean,key_resp_4.corr_raw,key_resp_4.corr_std,key_resp_4.keys_raw,key_resp_4.rt_mean,key_resp_4.rt_raw,key_resp_4.rt_std,key_resp_4.started_mean,key_resp_4.started_raw,key_resp_4.started_std,key_resp_4.stopped_raw,key_resp_7.keys_raw,key_resp_7.rt_mean,key_resp_7.rt_raw,key_resp_7.rt_std,key_resp_7.started_raw,key_resp_7.stopped_raw,text_4.started_raw,text_4.stopped_raw,order
images/exp1a_trial_0_colour1_distractors1_r.png,r,2,1.0,30.09247398376465,30.09247398376465,0.0,,1.0,1.0,0.0,'2',0.542984127998352,0.542984127998352,0.0,30.09247398376465,30.09247398376465,0.0,,,,,,,,,,18.0
images/exp1a_trial_1_colour1_distractors4_r.png,r,2,1.0,25.387916564941406,25.387916564941406,0.0,,1.0,1.0,0.0,'2',0.5278139114379883,0.5278139114379883,0.0,25.387916564941406,25.387916564941406,0.0,,,,,,,,,,12.0
images/exp1a_trial_2_colour1_distractors9_r.png,r,2,1.0,23.218931198120117,23.218931198120117,0.0,,1.0,1.0,0.0,'2',0.561052143573761,0.561052143573761,0.0,23.218931198120117,23.218931198120117,0.0,,,,,,,,,,9.0
images/exp1a_trial_3_colour1_distractors19_r.png,r,2,1.0,28.52412223815918,28.52412223815918,0.0,,1.0,1.0,0.0,'2',0.5674092769622803,0.5674092769622803,0.0,28.52412223815918,28.52412223815918,0.0,,,,,,,,,,16.0
images/exp1a_trial_4_colour1_distractors31_r.png,r,2,1.0,22.46819496154785,22.46819496154785,0.0,,1.0,1.0,0.0,'2',0.623283863067627,0.623283863067627,0.0,22.46819496154785,22.46819496154785,0.0,,,,,,,,,,8.0
images/exp1a_trial_5_colour2_distractors1_r.png,r,2,1.0,26.03837776184082,26.03837776184082,0.0,,1.0,1.0,0.0,'2',0.6051265001296997,0.6051265001296997,0.0,26.03837776184082,26.03837776184082,0.0,,,,,,,,,,13.0
images/exp1a_trial_6_colour2_distractors4_r.png,r,2,1.0,23.902942657470703,23.902942657470703,0.0,,1.0,1.0,0.0,'2',0.6446223258972168,0.6446223258972168,0.0,23.902942657470703,23.902942657470703,0.0,,,,,,,,,,10.0
images/exp1a_trial_7_colour2_distractors9_r.png,r,2,1.0,19.848939895629883,19.848939895629883,0.0,,1.0,1.0,0.0,'2',0.5066089034080505,0.5066089034080505,0.0,19.848939895629883,19.848939895629883,0.0,,,,,,,,,,5.0
images/exp1a_trial_8_colour2_distractors19_r.png,r,2,1.0,19.148435592651367,19.148435592651367,0.0,,1.0,1.0,0.0,'2',0.5751042366027832,0.5751042366027832,0.0,19.148435592651367,19.148435592651367,0.0,,,,,,,,,,4.0
images/exp1a_trial_9_colour2_distractors31_r.png,r,2,1.0,27.45659637451172,27.45659637451172,0.0,,1.0,1.0,0.0,'2',0.9392144083976746,0.9392144083976746,0.0,27.45659637451172,27.45659637451172,0.0,,,,,,,,,,15.0
images/exp1a_trial_10_colour3_distractors1_r.png,r,2,1.0,17.73019027709961,17.73019027709961,0.0,,1.0,1.0,0.0,'2',0.5613187551498413,0.5613187551498413,0.0,17.73019027709961,17.73019027709961,0.0,,,,,,,,,,2.0
images/exp1a_trial_11_colour3_distractors4_r.png,r,2,1.0,26.77254867553711,26.77254867553711,0.0,,1.0,1.0,0.0,'2',0.5589459538459778,0.5589459538459778,0.0,26.77254867553711,26.77254867553711,0.0,,,,,,,,,,14.0
images/exp1a_trial_12_colour3_distractors9_r.png,r,2,1.0,18.414201736450195,18.414201736450195,0.0,,1.0,1.0,0.0,'2',0.605324923992157,0.605324923992157,0.0,18.414201736450195,18.414201736450195,0.0,,,,,,,,,,3.0
images/exp1a_trial_13_colour3_distractors19_r.png,r,2,1.0,30.759675979614258,30.759675979614258,0.0,,1.0,1.0,0.0,'2',0.6598865389823914,0.6598865389823914,0.0,30.759675979614258,30.759675979614258,0.0,,'space',6.790413856506348,6.790413856506348,0.0,31.477168436918873,,31.477168436918873,,19.0
images/exp1a_trial_14_colour3_distractors31_r.png,r,2,1.0,14.87738037109375,14.87738037109375,0.0,,1.0,1.0,0.0,'2',1.8461191654205322,1.8461191654205322,0.0,14.87738037109375,14.87738037109375,0.0,,,,,,,,,,0.0
images/exp1a_trial_15_colour1_distractors1_l.png,l,1,1.0,20.483173370361328,20.483173370361328,0.0,,1.0,1.0,0.0,'1',0.7364634275436401,0.7364634275436401,0.0,20.483173370361328,20.483173370361328,0.0,,,,,,,,,,6.0
images/exp1a_trial_16_colour1_distractors4_l.png,l,1,1.0,16.8460693359375,16.8460693359375,0.0,,1.0,1.0,0.0,'1',0.7415011525154114,0.7415011525154114,0.0,16.8460693359375,16.8460693359375,0.0,,,,,,,,,,1.0
images/exp1a_trial_17_colour1_distractors9_l.png,l,1,1.0,21.350427627563477,21.350427627563477,0.0,,1.0,1.0,0.0,'1',0.9890496730804443,0.9890496730804443,0.0,21.350427627563477,21.350427627563477,0.0,,,,,,,,,,7.0
images/exp1a_trial_18_colour1_distractors19_l.png,l,1,1.0,24.6705322265625,24.6705322265625,0.0,,1.0,1.0,0.0,'1',0.573012113571167,0.573012113571167,0.0,24.6705322265625,24.6705322265625,0.0,,,,,,,,,,11.0
images/exp1a_trial_19_colour1_distractors31_l.png,l,1,1.0,29.208316802978516,29.208316802978516,0.0,,1.0,1.0,0.0,'1',0.7631935477256775,0.7631935477256775,0.0,29.208316802978516,29.208316802978516,0.0,,,,,,,,,,17.0

extraInfo
participant,1
session,001
date,2020_Oct_14_1509
expName,searchDisc2
psychopyVersion,2020.2.2
