ImageFile,targ_side,correctAnswer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image_3.started,image_3.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,key_resp_7.keys,key_resp_7.started,key_resp_7.stopped,key_resp_7.rt,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
images/exp1a_trial_6_colour2_distractors4_r.png,r,2,0,15,15,6,,,,,,,,,,,,,,,,,,,,,22.228301551076584,None,1,0,0.25465789617737755,22.228301551076584,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,2,001,2020_Oct_14_1512,searchDisc2,2020.2.2,59.8291861500113,
images/exp1a_trial_15_colour1_distractors1_l.png,l,1,0,16,16,15,,,,,,,,,,,,,,,,,,,,,22.612168065679725,None,2,0,0.20676086138701066,22.612168065679725,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,2,001,2020_Oct_14_1512,searchDisc2,2020.2.2,59.8291861500113,
images/exp1a_trial_8_colour2_distractors19_r.png,r,2,0,17,17,8,,,,,,,,,,,,,,,,,,,,,22.94574363779975,None,1,0,0.2493529633502476,22.94574363779975,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,2,001,2020_Oct_14_1512,searchDisc2,2020.2.2,59.8291861500113,
images/exp1a_trial_0_colour1_distractors1_r.png,r,2,0,18,18,0,,,,,,,,,,,,,,,,,,,,,23.31270015897462,None,2,1,0.21048500231700018,23.31270015897462,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,2,001,2020_Oct_14_1512,searchDisc2,2020.2.2,59.8291861500113,
images/exp1a_trial_14_colour3_distractors31_r.png,r,2,0,19,19,14,,,,,,,,,,,,,,,,,,,,,23.646404050407,None,1,0,0.24480162659892812,23.646404050407,None,23.94693627167726,None,space,23.94693627167726,None,0.632080283772666,,,,,,,,,,,,,,,,,,,,2,001,2020_Oct_14_1512,searchDisc2,2020.2.2,59.8291861500113,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.680795234336983,None,space,0.8538890680647455,29.66925321344752,None,,,,,,,,,,,,,,2,001,2020_Oct_14_1512,searchDisc2,2020.2.2,59.8291861500113,
images/exp1a_trial_63_colour0_distractors0_l.png,l,1,,,,,0,0,0,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.686816003522836,None,1,1,0.7961053639301099,30.686816003522836,None,None,None,None,None,None,,2,001,2020_Oct_14_1512,searchDisc2,2020.2.2,59.8291861500113,
images/exp1b_trial_7_colour2_distractors9_r.png,r,2,,,,,0,1,1,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.604275946097914,None,2,1,0.6227056117495522,31.604275946097914,None,None,None,None,None,None,,2,001,2020_Oct_14_1512,searchDisc2,2020.2.2,59.8291861500113,
images/exp1a_trial_45_colour3_distractors19_r.png,r,2,,,,,0,2,2,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.35495402262313,None,2,1,0.6241497643641196,32.35495402262313,None,None,None,None,None,None,,2,001,2020_Oct_14_1512,searchDisc2,2020.2.2,59.8291861500113,
images/exp1b_trial_81_colour1_distractors9_l.png,l,1,,,,,0,3,3,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.10571465874091,None,1,1,0.7213473467272706,33.10571465874091,None,None,None,None,None,None,,2,001,2020_Oct_14_1512,searchDisc2,2020.2.2,59.8291861500113,
