exp2b_trial_0_colour1_distractors1_r.png,['distractor_4'],-149,-156
exp2b_trial_0_colour1_distractors1_r.png,target,-111,29
exp2b_trial_1_colour1_distractors4_r.png,['distractor_1'],-84,-81
exp2b_trial_1_colour1_distractors4_r.png,['distractor_14'],205,-52
exp2b_trial_1_colour1_distractors4_r.png,['distractor_27'],113,33
exp2b_trial_1_colour1_distractors4_r.png,['distractor_31'],153,153
exp2b_trial_1_colour1_distractors4_r.png,target,290,281
exp2b_trial_2_colour1_distractors9_r.png,target,-207,-59
exp2b_trial_2_colour1_distractors9_r.png,['distractor_6'],-384,-105
exp2b_trial_2_colour1_distractors9_r.png,['distractor_10'],87,-88
exp2b_trial_2_colour1_distractors9_r.png,['distractor_11'],121,-29
exp2b_trial_2_colour1_distractors9_r.png,['distractor_13'],147,-151
exp2b_trial_2_colour1_distractors9_r.png,['distractor_15'],113,-383
exp2b_trial_2_colour1_distractors9_r.png,['distractor_18'],-28,111
exp2b_trial_2_colour1_distractors9_r.png,['distractor_29'],34,108
exp2b_trial_2_colour1_distractors9_r.png,['distractor_31'],147,150
exp2b_trial_2_colour1_distractors9_r.png,['distractor_35'],95,385
exp2b_trial_3_colour1_distractors19_r.png,['distractor_1'],-80,-83
exp2b_trial_3_colour1_distractors19_r.png,['distractor_3'],-210,-56
exp2b_trial_3_colour1_distractors19_r.png,['distractor_6'],-378,-102
exp2b_trial_3_colour1_distractors19_r.png,['distractor_8'],-96,-386
exp2b_trial_3_colour1_distractors19_r.png,['distractor_9'],33,-116
exp2b_trial_3_colour1_distractors19_r.png,['distractor_10'],83,-79
exp2b_trial_3_colour1_distractors19_r.png,['distractor_16'],288,-279
exp2b_trial_3_colour1_distractors19_r.png,['distractor_17'],385,-106
exp2b_trial_3_colour1_distractors19_r.png,['distractor_18'],-27,110
exp2b_trial_3_colour1_distractors19_r.png,target,-79,83
exp2b_trial_3_colour1_distractors19_r.png,['distractor_20'],-110,20
exp2b_trial_3_colour1_distractors19_r.png,['distractor_24'],-102,382
exp2b_trial_3_colour1_distractors19_r.png,['distractor_25'],-280,280
exp2b_trial_3_colour1_distractors19_r.png,['distractor_27'],112,29
exp2b_trial_3_colour1_distractors19_r.png,['distractor_28'],80,81
exp2b_trial_3_colour1_distractors19_r.png,['distractor_31'],152,151
exp2b_trial_3_colour1_distractors19_r.png,['distractor_32'],55,202
exp2b_trial_3_colour1_distractors19_r.png,['distractor_33'],379,105
exp2b_trial_3_colour1_distractors19_r.png,['distractor_34'],277,276
exp2b_trial_3_colour1_distractors19_r.png,['distractor_35'],102,383
exp2b_trial_4_colour1_distractors31_r.png,['distractor_0'],-111,-31
