ImageFile,targ_side,correctAnswer,n,image.started_mean,image.started_raw,image.started_std,image.stopped_raw,key_resp_4.corr_mean,key_resp_4.corr_raw,key_resp_4.corr_std,key_resp_4.keys_raw,key_resp_4.rt_mean,key_resp_4.rt_raw,key_resp_4.rt_std,key_resp_4.started_mean,key_resp_4.started_raw,key_resp_4.started_std,key_resp_4.stopped_raw,text_4.started_mean,text_4.started_raw,text_4.started_std,text_4.stopped_raw,order
Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,2,1.0,15.169865608215332,15.169865608215332,0.0,,1.0,1.0,0.0,'2',0.7176218628883362,0.7176218628883362,0.0,15.169865608215332,15.169865608215332,0.0,,15.920952796936035,15.920952796936035,0.0,,3.0
Practice arrays/exp1a_trial_3_colour1_distractors19_r.png,r,2,1.0,32.47023391723633,32.47023391723633,0.0,,1.0,1.0,0.0,'2',0.6411964297294617,0.6411964297294617,0.0,32.47023391723633,32.47023391723633,0.0,,33.13770294189453,33.13770294189453,0.0,,12.0
Practice arrays/exp1a_trial_5_colour1_distractors43_r.png,r,2,1.0,30.451522827148438,30.451522827148438,0.0,,1.0,1.0,0.0,'2',0.9078789353370667,0.9078789353370667,0.0,30.451522827148438,30.451522827148438,0.0,,31.386049270629883,31.386049270629883,0.0,,11.0
Practice arrays/exp1a_trial_7_colour2_distractors4_r.png,r,2,1.0,38.30937957763672,38.30937957763672,0.0,,1.0,1.0,0.0,'2',0.666161060333252,0.666161060333252,0.0,38.30937957763672,38.30937957763672,0.0,,38.99365234375,38.99365234375,0.0,,15.0
Practice arrays/exp1a_trial_8_colour2_distractors9_r.png,r,2,1.0,43.731327056884766,43.731327056884766,0.0,,1.0,1.0,0.0,'2',0.7079835534095764,0.7079835534095764,0.0,43.731327056884766,43.731327056884766,0.0,,44.465492248535156,44.465492248535156,0.0,,18.0
Practice arrays/exp1a_trial_10_colour2_distractors31_r.png,r,2,1.0,26.330833435058594,26.330833435058594,0.0,,1.0,1.0,0.0,'2',1.1006256341934204,1.1006256341934204,0.0,26.330833435058594,26.330833435058594,0.0,,27.448822021484375,27.448822021484375,0.0,,9.0
Practice arrays/exp1a_trial_12_colour3_distractors1_r.png,r,2,1.0,41.979576110839844,41.979576110839844,0.0,,1.0,1.0,0.0,'2',0.6356998085975647,0.6356998085975647,0.0,41.979576110839844,41.979576110839844,0.0,,42.647220611572266,42.647220611572266,0.0,,17.0
Practice arrays/exp1a_trial_13_colour3_distractors4_r.png,r,2,1.0,20.958894729614258,20.958894729614258,0.0,,1.0,1.0,0.0,'2',0.5925717353820801,0.5925717353820801,0.0,20.958894729614258,20.958894729614258,0.0,,21.576480865478516,21.576480865478516,0.0,,6.0
Practice arrays/exp1a_trial_16_colour3_distractors31_r.png,r,2,1.0,28.53302001953125,28.53302001953125,0.0,,1.0,1.0,0.0,'2',0.7942838072776794,0.7942838072776794,0.0,28.53302001953125,28.53302001953125,0.0,,29.350688934326172,29.350688934326172,0.0,,10.0
Practice arrays/exp1a_trial_19_colour1_distractors4_l.png,l,1,1.0,11.532959938049316,11.532959938049316,0.0,,1.0,1.0,0.0,'1',0.7385244965553284,0.7385244965553284,0.0,11.532959938049316,11.532959938049316,0.0,,12.300471305847168,12.300471305847168,0.0,,1.0
Practice arrays/exp1a_trial_20_colour1_distractors9_l.png,l,1,1.0,17.00521469116211,17.00521469116211,0.0,,1.0,1.0,0.0,'1',0.9224392175674438,0.9224392175674438,0.0,17.00521469116211,17.00521469116211,0.0,,17.95616912841797,17.95616912841797,0.0,,4.0
Practice arrays/exp1a_trial_21_colour1_distractors19_l.png,l,1,1.0,34.23861312866211,34.23861312866211,0.0,,1.0,1.0,0.0,'1',0.9451677203178406,0.9451677203178406,0.0,34.23861312866211,34.23861312866211,0.0,,35.206504821777344,35.206504821777344,0.0,,13.0
