ImageFile,targ_side,correctAnswer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image_3.started,image_3.stopped,fix.started,fix.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,7.013779436179902,None,space,0.45072461961535737,7.981630511640105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_2314,searchDisc3,2020.2.2,60.0032833641522,
,,,,,,,,,,,,,8.448556312767323,None,space,0.6795328283915296,8.448556312767323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_2314,searchDisc3,2020.2.2,60.0032833641522,
,,,,,,,,,,,,,,,,,,,9.166022670571692,None,space,0.6344847822911106,10.133764626691118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_2314,searchDisc3,2020.2.2,60.0032833641522,
Practice arrays/exp1a_trial_35_colour3_distractors43_l.png,l,1,0,0,0,17,,,,,,,,,,,,,,,,,,,9.166022670571692,None,9.166022670571692,None,10.834329647244886,None,space,1.3179519868572243,10.834329647244886,None,12.268939484842122,None,2,0,0.5072580358246341,12.268939484842122,None,12.83629731531255,None,,,,,,,,001,2020_Dec_17_2314,searchDisc3,2020.2.2,60.0032833641522,
Practice arrays/exp1a_trial_16_colour3_distractors31_r.png,r,2,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,13.837515227904078,None,space,0.6747747773770243,13.837515227904078,None,14.621249022777192,None,2,1,0.6909890787792392,14.621249022777192,None,15.355567438120488,None,,,,,,,,001,2020_Dec_17_2314,searchDisc3,2020.2.2,60.0032833641522,
Practice arrays/exp1a_trial_8_colour2_distractors9_r.png,r,2,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,16.35653127229307,None,space,0.4836562593700364,16.35653127229307,None,16.940300842979923,None,2,1,0.4759206264279783,16.940300842979923,None,17.44096371892374,None,,,,,,,,001,2020_Dec_17_2314,searchDisc3,2020.2.2,60.0032833641522,
Practice arrays/exp1a_trial_37_colour0_distractors0_l.png,l,1,0,3,3,19,,,,,,,,,,,,,,,,,,,,,,,18.44201427255757,None,space,0.4622320696362294,18.44201427255757,None,19.00906234490685,None,2,0,0.4072970436536707,19.00906234490685,None,19.459536726004444,None,,,,,,,,001,2020_Dec_17_2314,searchDisc3,2020.2.2,60.0032833641522,
Practice arrays/exp1a_trial_32_colour3_distractors9_l.png,l,1,0,4,4,15,,,,,,,,,,,,,,,,,,,,,,,20.460595599550288,None,space,0.5635568936122581,20.460595599550288,None,21.144489361497108,None,2,0,0.4798476425348781,21.144489361497108,None,21.645069037971552,None,,,,,,,,001,2020_Dec_17_2314,searchDisc3,2020.2.2,60.0032833641522,
Practice arrays/exp1a_trial_25_colour2_distractors4_l.png,l,1,0,5,5,12,,,,,,,,,,,,,,,,,,,,,,,22.646190311119426,None,space,0.41802817839197814,22.646190311119426,None,23.162974049104378,None,2,0,0.3177759879617952,23.162974049104378,None,23.496737459790893,None,,,,,,,,001,2020_Dec_17_2314,searchDisc3,2020.2.2,60.0032833641522,
Practice arrays/exp1a_trial_5_colour1_distractors43_r.png,r,2,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,24.49793585255975,None,space,0.38220759615069255,24.49793585255975,None,24.98151531239273,None,2,1,0.2826901212683879,24.98151531239273,None,25.298680744017474,None,,,,,,,,001,2020_Dec_17_2314,searchDisc3,2020.2.2,60.0032833641522,
Practice arrays/exp1a_trial_19_colour1_distractors4_l.png,l,1,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,26.299701857788023,None,space,0.37260541453724727,26.299701857788023,None,26.783202598104253,None,2,0,0.1209295048029162,26.783202598104253,None,26.950303342135157,None,,,,,,,,001,2020_Dec_17_2314,searchDisc3,2020.2.2,60.0032833641522,
