ImageFile,targ_side,correctAnswer,exp,trial,colour,distNo,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image_3.started,image_3.stopped,fix.started,fix.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fix2experiment.started,fix2experiment.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,7.523112112947274,None,space,6.959041966998484,8.49095720105106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1630,searchDisc3,2020.2.2,59.90281453759881,
,,,,,,,,,,,,,,,,,,,,,15.48085713153705,None,space,11.80107442237204,15.48085713153705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1630,searchDisc3,2020.2.2,59.90281453759881,
,,,,,,,,,,,,,,,,,,,,,,,,,,,27.325889240019023,None,space,3.9962944331928156,28.29353560990421,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1630,searchDisc3,2020.2.2,59.90281453759881,
Practice arrays/exp1a_trial_36_colour0_distractors0_r.png,r,2,,,,,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,27.325889240019023,None,27.325889240019023,None,32.36431449576048,None,space,1.1655553166056052,32.36431449576048,None,33.63197545747971,None,2,1,1.7379063483676873,33.63197545747971,None,35.433908752165735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1630,searchDisc3,2020.2.2,59.90281453759881,
Practice arrays/exp1a_trial_29_colour2_distractors43_l.png,l,1,,,,,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,36.435018502234016,None,space,0.5748124496894889,36.435018502234016,None,37.11868949653581,None,1,1,0.9632665691315196,37.11868949653581,None,38.10313475591829,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1630,searchDisc3,2020.2.2,59.90281453759881,
Practice arrays/exp1a_trial_20_colour1_distractors9_l.png,l,1,,,,,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,39.10420674632769,None,space,1.033693778095767,39.10420674632769,None,40.23845546343364,None,1,1,0.8354955539689399,40.23845546343364,None,41.089479198271874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1630,searchDisc3,2020.2.2,59.90281453759881,
Practice arrays/exp1a_trial_7_colour2_distractors4_r.png,r,2,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,42.09053550881799,None,space,0.49544996075564995,42.09053550881799,None,42.69108212791616,None,2,1,0.7907509948709048,42.69108212791616,None,43.508484723977745,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1630,searchDisc3,2020.2.2,59.90281453759881,
Practice arrays/exp1a_trial_8_colour2_distractors9_r.png,r,2,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,44.50956887425855,None,space,1.0123794090468436,44.50956887425855,None,45.64399294985924,None,2,1,0.6298871562466957,45.64399294985924,None,46.29465591988992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1630,searchDisc3,2020.2.2,59.90281453759881,
Practice arrays/exp1a_trial_33_colour3_distractors19_l.png,l,1,,,,,0,5,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,47.29566679085838,None,space,0.5701529714860953,47.29566679085838,None,47.97939186467556,None,1,1,0.6865234487922862,47.97939186467556,None,48.69700047490187,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1630,searchDisc3,2020.2.2,59.90281453759881,
Practice arrays/exp1a_trial_16_colour3_distractors31_r.png,r,2,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,49.69800462591229,None,space,0.6560718816472217,49.69800462591229,None,50.46526655124035,None,2,1,0.8485661568702199,50.46526655124035,None,51.33274197863648,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1630,searchDisc3,2020.2.2,59.90281453759881,
