ImageFile,targ_side,correctAnswer,n,fix.started_mean,fix.started_raw,fix.started_std,fix.stopped_raw,image.started_mean,image.started_raw,image.started_std,image.stopped_raw,key_resp_4.corr_mean,key_resp_4.corr_raw,key_resp_4.corr_std,key_resp_4.keys_raw,key_resp_4.rt_mean,key_resp_4.rt_raw,key_resp_4.rt_std,key_resp_4.started_mean,key_resp_4.started_raw,key_resp_4.started_std,key_resp_4.stopped_raw,key_resp_7.keys_raw,key_resp_7.rt_mean,key_resp_7.rt_raw,key_resp_7.rt_std,key_resp_7.started_mean,key_resp_7.started_raw,key_resp_7.started_std,key_resp_7.stopped_raw,text_4.started_mean,text_4.started_raw,text_4.started_std,text_4.stopped_raw,order
Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,2,1.0,65.58427429199219,65.58427429199219,0.0,,66.05113983154297,66.05113983154297,0.0,,1.0,1.0,0.0,'2',0.6330938935279846,0.6330938935279846,0.0,66.05113983154297,66.05113983154297,0.0,,'space',0.3639109134674072,0.3639109134674072,0.0,65.58427429199219,65.58427429199219,0.0,,66.70191955566406,66.70191955566406,0.0,,12.0
Practice arrays/exp1a_trial_3_colour1_distractors19_r.png,r,2,1.0,37.072662353515625,37.072662353515625,0.0,,38.423954010009766,38.423954010009766,0.0,,1.0,1.0,0.0,'2',1.1163207292556763,1.1163207292556763,0.0,38.423954010009766,38.423954010009766,0.0,,'space',1.2357676029205322,1.2357676029205322,0.0,37.072662353515625,37.072662353515625,0.0,,39.592010498046875,39.592010498046875,0.0,,0.0
Practice arrays/exp1a_trial_5_colour1_distractors43_r.png,r,2,1.0,80.93267059326172,80.93267059326172,0.0,,81.4664535522461,81.4664535522461,0.0,,1.0,1.0,0.0,'2',0.6177941560745239,0.6177941560745239,0.0,81.4664535522461,81.4664535522461,0.0,,'space',0.40775635838508606,0.40775635838508606,0.0,80.93267059326172,80.93267059326172,0.0,,82.10047149658203,82.10047149658203,0.0,,19.0
Practice arrays/exp1a_trial_7_colour2_distractors4_r.png,r,2,1.0,61.113182067871094,61.113182067871094,0.0,,61.64687728881836,61.64687728881836,0.0,,1.0,1.0,0.0,'2',0.6934636831283569,0.6934636831283569,0.0,61.64687728881836,61.64687728881836,0.0,,'space',0.4110516905784607,0.4110516905784607,0.0,61.113182067871094,61.113182067871094,0.0,,62.36446762084961,62.36446762084961,0.0,,10.0
Practice arrays/exp1a_trial_8_colour2_distractors9_r.png,r,2,1.0,52.03759002685547,52.03759002685547,0.0,,52.62122344970703,52.62122344970703,0.0,,1.0,1.0,0.0,'2',0.8150711059570312,0.8150711059570312,0.0,52.62122344970703,52.62122344970703,0.0,,'space',0.47863712906837463,0.47863712906837463,0.0,52.03759002685547,52.03759002685547,0.0,,53.45561981201172,53.45561981201172,0.0,,6.0
Practice arrays/exp1a_trial_10_colour2_distractors31_r.png,r,2,1.0,69.78841400146484,69.78841400146484,0.0,,70.28856658935547,70.28856658935547,0.0,,1.0,1.0,0.0,'2',1.163875937461853,1.163875937461853,0.0,70.28856658935547,70.28856658935547,0.0,,'space',0.39200830459594727,0.39200830459594727,0.0,69.78841400146484,69.78841400146484,0.0,,71.47332763671875,71.47332763671875,0.0,,14.0
Practice arrays/exp1a_trial_12_colour3_distractors1_r.png,r,2,1.0,76.76176452636719,76.76176452636719,0.0,,77.29550170898438,77.29550170898438,0.0,,1.0,1.0,0.0,'2',0.5245161652565002,0.5245161652565002,0.0,77.29550170898438,77.29550170898438,0.0,,'space',0.4423087537288666,0.4423087537288666,0.0,76.76176452636719,76.76176452636719,0.0,,77.84607696533203,77.84607696533203,0.0,,17.0
Practice arrays/exp1a_trial_13_colour3_distractors4_r.png,r,2,1.0,40.59295654296875,40.59295654296875,0.0,,41.326751708984375,41.326751708984375,0.0,,1.0,1.0,0.0,'2',0.5577168464660645,0.5577168464660645,0.0,41.326751708984375,41.326751708984375,0.0,,'space',0.6352516412734985,0.6352516412734985,0.0,40.59295654296875,40.59295654296875,0.0,,41.91092300415039,41.91092300415039,0.0,,1.0
Practice arrays/exp1a_trial_16_colour3_distractors31_r.png,r,2,1.0,63.365482330322266,63.365482330322266,0.0,,63.89897537231445,63.89897537231445,0.0,,1.0,1.0,0.0,'2',0.6577356457710266,0.6577356457710266,0.0,63.89897537231445,63.89897537231445,0.0,,'space',0.4067995548248291,0.4067995548248291,0.0,63.365482330322266,63.365482330322266,0.0,,64.58323669433594,64.58323669433594,0.0,,11.0
Practice arrays/exp1a_trial_19_colour1_distractors4_l.png,l,1,1.0,42.911895751953125,42.911895751953125,0.0,,43.579105377197266,43.579105377197266,0.0,,1.0,1.0,0.0,'1',0.689194917678833,0.689194917678833,0.0,43.579105377197266,43.579105377197266,0.0,,'space',0.5484302043914795,0.5484302043914795,0.0,42.911895751953125,42.911895751953125,0.0,,44.296512603759766,44.296512603759766,0.0,,2.0
Practice arrays/exp1a_trial_20_colour1_distractors9_l.png,l,1,1.0,58.91096496582031,58.91096496582031,0.0,,59.46127700805664,59.46127700805664,0.0,,1.0,1.0,0.0,'1',0.6231387853622437,0.6231387853622437,0.0,59.46127700805664,59.46127700805664,0.0,,'space',0.4293392300605774,0.4293392300605774,0.0,58.91096496582031,58.91096496582031,0.0,,60.11225509643555,60.11225509643555,0.0,,9.0
