ImageFile,targ_side,correctAnswer,exp,trial,colour,distNo,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,text_top.started,text_top.stopped,text_bottom.started,text_bottom.stopped,ccimage.started,ccimage.stopped,text_6.started,text_6.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,text_7.started,text_7.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_8.started,text_8.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,text_9.started,text_9.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image_3.started,image_3.stopped,fix.started,fix.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fix2experiment.started,fix2experiment.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,60,40,10.25372159993276,None,10.25372159993276,None,10.25372159993276,None,10.724170099943876,None,space,0.3884523999877274,10.724170099943876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.14145419979468,None,space,0.33095209999009967,11.14145419979468,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4911910998635,None,space,0.30908859986811876,11.4911910998635,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.82455789996311,None,space,0.3438420998863876,11.82455789996311,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.19105299981311,None,space,0.5134078999981284,13.175060899928212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.708161099813879,None,space,0.6206643998157233,13.708161099813879,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.358548799995333,None,space,0.1306539000943303,15.3419372998178,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
Practice arrays/exp1a_trial_8_colour2_distractors19_r.png,r,j,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.358548799995333,None,14.358548799995333,None,15.49785209982656,None,space,2.3756007000338286,15.49785209982656,None,17.98404369992204,None,j,1,0.7785581999924034,17.98404369992204,None,18.777013699989766,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
Practice arrays/exp1a_trial_16_colour1_distractors4_l.png,l,f,,,,,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.776100099785253,None,space,0.360247700009495,19.776100099785253,None,20.200475399848074,None,f,1,0.6003137000370771,20.200475399848074,None,20.82669759984128,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
Practice arrays/exp1a_trial_17_colour1_distractors9_l.png,l,f,,,,,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.826719499891624,None,space,0.3341588000766933,21.826719499891624,None,22.22779809986241,None,f,1,0.5342867998406291,22.22779809986241,None,22.777049999916926,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
