ImageFile,targ_side,correctAnswer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image_3.started,image_3.stopped,fix.started,fix.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fix2experiment.started,fix2experiment.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
Practice arrays/exp1a_trial_12_colour3_distractors1_r.png,r,2,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,82.24225734936772,None,space,1.1078825533622876,82.24225734936772,None,83.45978020035545,None,2,1,0.6103238115028944,83.45978020035545,None,84.09399499779101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_3_colour1_distractors19_r.png,r,2,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,85.09504522840143,None,space,0.5271037571656052,85.09504522840143,None,85.72872115066275,None,2,1,0.581330151297152,85.72872115066275,None,86.32941144847427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_33_colour3_distractors19_l.png,l,1,0,12,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,87.33058007800719,None,space,0.4355228177155368,87.33058007800719,None,87.88098378639552,None,1,1,0.5894324786786456,87.88098378639552,None,88.49836129468167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_36_colour0_distractors0_r.png,r,2,0,13,13,18,,,,,,,,,,,,,,,,,,,,,,,,,,,89.499470084731,None,space,0.44269203348085284,89.499470084731,None,90.04957171584829,None,2,1,0.5406095561338589,90.04957171584829,None,90.61698999177315,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,2,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,91.61804982228205,None,space,0.46804124634945765,91.61804982228205,None,92.18502298218664,None,2,1,0.6770931332430337,92.18502298218664,None,92.88596038179821,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_5_colour1_distractors43_r.png,r,2,0,15,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,93.88696613279171,None,space,0.407193471561186,93.88696613279171,None,94.40385974140372,None,2,1,0.6743203580845147,94.40385974140372,None,95.10484802056453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_20_colour1_distractors9_l.png,l,1,0,16,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,96.10591361101251,None,space,0.42816512362333015,96.10591361101251,None,96.63950851000845,None,1,1,0.7825885080092121,96.63950851000845,None,97.44044373361976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_16_colour3_distractors31_r.png,r,2,0,17,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,98.44151188404066,None,space,0.40450549562228844,98.44151188404066,None,98.95835429313593,None,2,1,0.6476348371943459,98.95835429313593,None,99.62590383191127,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_10_colour2_distractors31_r.png,r,2,0,18,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,100.62725261980086,None,space,0.47483030552393757,100.62725261980086,None,101.2274453220889,None,2,1,1.0106562245055102,101.2274453220889,None,102.26185013382928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_35_colour3_distractors43_l.png,l,1,0,19,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,,103.2629365240864,None,space,0.5351187253254466,103.2629365240864,None,103.89652412713622,None,1,1,0.7655182609451003,103.89652412713622,None,104.68072126072366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
