ImageFile,targ_side,correctAnswer,exp,trial,colour,distNo,n,breakMessage.started_mean,breakMessage.started_raw,breakMessage.stopped_raw,dispStimuli.started_mean,dispStimuli.started_raw,dispStimuli.started_std,dispStimuli.stopped_raw,fix2experiment.started_mean,fix2experiment.started_raw,fix2experiment.started_std,fix2experiment.stopped_raw,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,key_resp.started_mean,key_resp.started_raw,key_resp.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_mean,key_resp_2.rt_raw,key_resp_2.rt_std,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,key_resp_9.keys_raw,key_resp_9.rt_mean,key_resp_9.rt_raw,key_resp_9.rt_std,key_resp_9.started_mean,key_resp_9.started_raw,key_resp_9.started_std,key_resp_9.stopped_raw,order
Images/exp1a_trial_0_colour1_distractors1_r.png,r,2,1a,0,1,1,1.0,618.3949241333584,618.3949241333584,,617.5437622070312,617.5437622070312,0.0,,617.2103271484375,617.2103271484375,0.0,,,,,,618.3949241333584,618.3949241333584,,1.0,1.0,0.0,'2',0.7720451951026917,0.7720451951026917,0.0,617.5437622070312,617.5437622070312,0.0,,'space',0.2238665074110031,0.2238665074110031,0.0,617.2103271484375,617.2103271484375,0.0,,404.0
Images/exp1a_trial_1_colour1_distractors4_r.png,r,2,1a,1,1,4,1.0,298.4967121841983,298.4967121841983,,297.71240234375,297.71240234375,0.0,,297.3454895019531,297.3454895019531,0.0,,,,,,298.4967121841983,298.4967121841983,,1.0,1.0,0.0,'2',0.7236244082450867,0.7236244082450867,0.0,297.71240234375,297.71240234375,0.0,,'space',0.25698819756507874,0.25698819756507874,0.0,297.3454895019531,297.3454895019531,0.0,,135.0
Images/exp1a_trial_2_colour1_distractors9_r.png,r,2,1a,2,1,9,1.0,580.2906455408487,580.2906455408487,,579.556396484375,579.556396484375,0.0,,579.2396240234375,579.2396240234375,0.0,,,,,,580.2906455408487,580.2906455408487,,1.0,1.0,0.0,'2',0.6557039618492126,0.6557039618492126,0.0,579.556396484375,579.556396484375,0.0,,'space',0.21067461371421814,0.21067461371421814,0.0,579.2396240234375,579.2396240234375,0.0,,371.0
Images/exp1a_trial_3_colour1_distractors19_r.png,r,2,1a,3,1,19,1.0,467.0959714536503,467.0959714536503,,466.27825927734375,466.27825927734375,0.0,,465.9114074707031,465.9114074707031,0.0,,,,,,467.0959714536503,467.0959714536503,,1.0,1.0,0.0,'2',0.7577012777328491,0.7577012777328491,0.0,466.27825927734375,466.27825927734375,0.0,,'space',0.26711803674697876,0.26711803674697876,0.0,465.9114074707031,465.9114074707031,0.0,,276.0
Images/exp1a_trial_4_colour1_distractors31_r.png,r,2,1a,4,1,31,1.0,296.04429151401433,296.04429151401433,,295.2767333984375,295.2767333984375,0.0,,294.8763732910156,294.8763732910156,0.0,,,,,,296.04429151401433,296.04429151401433,,1.0,1.0,0.0,'2',0.711396336555481,0.711396336555481,0.0,295.2767333984375,295.2767333984375,0.0,,'space',0.2701980173587799,0.2701980173587799,0.0,294.8763732910156,294.8763732910156,0.0,,133.0
Images/exp1a_trial_5_colour1_distractors43_r.png,r,2,1a,5,1,43,1.0,784.6752753499736,784.6752753499736,,783.9910278320312,783.9910278320312,0.0,,783.7073364257812,783.7073364257812,0.0,,,,,,784.6752753499736,784.6752753499736,,1.0,1.0,0.0,'2',0.6286149024963379,0.6286149024963379,0.0,783.9910278320312,783.9910278320312,0.0,,'space',0.15013521909713745,0.15013521909713745,0.0,783.7073364257812,783.7073364257812,0.0,,533.0
Images/exp1a_trial_6_colour2_distractors1_r.png,r,2,1a,6,2,1,1.0,774.1815570637399,774.1815570637399,,773.0968627929688,773.0968627929688,0.0,,772.7802124023438,772.7802124023438,0.0,,,,,,774.1815570637399,774.1815570637399,,1.0,1.0,0.0,'2',1.0188443660736084,1.0188443660736084,0.0,773.0968627929688,773.0968627929688,0.0,,'space',0.20533129572868347,0.20533129572868347,0.0,772.7802124023438,772.7802124023438,0.0,,525.0
Images/exp1a_trial_7_colour2_distractors4_r.png,r,2,1a,7,2,4,1.0,179.87990488390014,179.87990488390014,,179.2459259033203,179.2459259033203,0.0,,178.59542846679688,178.59542846679688,0.0,,,,,,179.87990488390014,179.87990488390014,,1.0,1.0,0.0,'2',0.5822293162345886,0.5822293162345886,0.0,179.2459259033203,179.2459259033203,0.0,,'space',0.5267113447189331,0.5267113447189331,0.0,178.59542846679688,178.59542846679688,0.0,,56.0
Images/exp1a_trial_8_colour2_distractors9_r.png,r,2,1a,8,2,9,1.0,527.822300827866,527.822300827866,,527.0048217773438,527.0048217773438,0.0,,526.7213134765625,526.7213134765625,0.0,,,,,,527.822300827866,527.822300827866,,1.0,1.0,0.0,'2',0.7669463753700256,0.7669463753700256,0.0,527.0048217773438,527.0048217773438,0.0,,'space',0.1612183302640915,0.1612183302640915,0.0,526.7213134765625,526.7213134765625,0.0,,326.0
Images/exp1a_trial_9_colour2_distractors19_r.png,r,2,1a,9,2,19,1.0,355.01887282109607,355.01887282109607,,354.3847961425781,354.3847961425781,0.0,,354.05145263671875,354.05145263671875,0.0,,,,,,355.01887282109607,355.01887282109607,,1.0,1.0,0.0,'2',0.5713289380073547,0.5713289380073547,0.0,354.3847961425781,354.3847961425781,0.0,,'space',0.23067446053028107,0.23067446053028107,0.0,354.05145263671875,354.05145263671875,0.0,,182.0
