ImageFile,targ_side,correctAnswer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image_3.started,image_3.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
Practice arrays/exp1a_trial_7_colour2_distractors4_r.png,r,2,0,15,15,3,,,,,,,,,,,,,,,,,,,,,38.309377958939876,None,2,1,0.6661610697046854,38.309377958939876,None,38.99365059856791,None,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
Practice arrays/exp1a_trial_29_colour2_distractors43_l.png,l,1,0,16,16,14,,,,,,,,,,,,,,,,,,,,,40.077730727382004,None,1,1,0.7937394940527156,40.077730727382004,None,40.895457275619265,None,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
Practice arrays/exp1a_trial_12_colour3_distractors1_r.png,r,2,0,17,17,6,,,,,,,,,,,,,,,,,,,,,41.979575484176166,None,2,1,0.6356998149421997,41.979575484176166,None,42.647220064885914,None,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
Practice arrays/exp1a_trial_8_colour2_distractors9_r.png,r,2,0,18,18,4,,,,,,,,,,,,,,,,,,,,,43.73132771352539,None,2,1,0.7079835354234092,43.73132771352539,None,44.46549092978239,None,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
Practice arrays/exp1a_trial_35_colour3_distractors43_l.png,l,1,0,19,19,17,,,,,,,,,,,,,,,,,,,,,45.54976721742423,None,1,1,0.8336499714059755,45.54976721742423,None,46.4007428434561,None,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4850303310086,None,space,0.4726595262181945,50.45488107431447,None,,,,,,,,,,,,,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2a_trial_61_colour3_distractors31_l.png,l,1,,,,,0,0,0,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.08865226095077,None,1,1,1.7267191015416756,51.08865226095077,None,52.907435602799524,None,None,52.907435602799524,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp1a_trial_44_colour3_distractors9_r.png,r,2,,,,,0,1,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.97396271827165,None,2,1,0.8401756917010061,52.97396271827165,None,53.891655826696656,None,None,53.891655826696656,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp1a_trial_84_colour2_distractors1_l.png,l,1,,,,,0,2,2,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9580645749229,None,1,1,0.6159341751481406,53.9580645749229,None,54.64223654316738,None,None,54.64223654316738,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2b_trial_46_colour3_distractors31_r.png,r,2,,,,,0,3,3,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.70880977041088,None,2,1,0.9368659838219173,54.70880977041088,None,55.709921219653914,None,None,55.709921219653914,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2b_trial_5_colour2_distractors1_r.png,r,2,,,,,0,4,4,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.80987603595713,None,2,1,0.6435157674131915,55.80987603595713,None,56.51090610967949,None,None,56.51090610967949,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2c_trial_64_colour1_distractors1_r.png,r,2,,,,,0,5,5,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.577317769872025,None,2,1,0.6681680975598283,56.577317769872025,None,57.311568761628585,None,None,57.311568761628585,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2b_trial_11_colour3_distractors4_r.png,r,2,,,,,0,6,6,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.37808730121469,None,2,1,0.6992818283615634,57.37808730121469,None,58.12903099149698,None,None,58.12903099149698,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp1b_trial_52_colour2_distractors1_l.png,l,1,,,,,0,7,7,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.19570377009222,None,1,1,1.1696728883543983,58.19570377009222,None,59.430434598913415,None,None,59.430434598913415,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2a_trial_6_colour2_distractors4_r.png,r,2,,,,,0,8,8,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.49702897807583,None,2,1,0.5809673477197066,59.49702897807583,None,60.13095481976634,None,None,60.13095481976634,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2b_trial_13_colour3_distractors19_r.png,r,2,,,,,0,9,9,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.19777991750743,None,2,1,0.69571481004823,60.19777991750743,None,60.94851240903372,None,None,60.94851240903372,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp1b_trial_75_colour3_distractors4_r.png,r,2,,,,,0,10,10,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.015239267318975,None,2,1,1.0140834343619645,61.015239267318975,None,62.08306071095867,None,None,62.08306071095867,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2b_trial_57_colour3_distractors1_l.png,l,1,,,,,0,11,11,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.14968452992616,None,1,1,0.6401029881672002,62.14968452992616,None,62.85042820536764,None,None,62.85042820536764,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp1b_trial_22_colour2_distractors9_l.png,l,1,,,,,0,12,12,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.91699506464647,None,1,1,1.1843812789884396,62.91699506464647,None,64.15166349386563,None,None,64.15166349386563,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp1b_trial_9_colour2_distractors31_r.png,r,2,,,,,0,13,13,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.21817275352078,None,2,1,1.2032896440359764,64.21817275352078,None,65.48648289815755,None,None,65.48648289815755,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp1a_trial_56_colour2_distractors31_l.png,l,1,,,,,0,14,14,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.55292623821879,None,1,1,0.7169870007201098,65.55292623821879,None,66.32050758731783,None,None,66.32050758731783,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2b_trial_75_colour3_distractors4_r.png,r,2,,,,,0,15,15,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.38717556593474,None,2,1,0.8504354693577625,66.38717556593474,None,67.28812922418582,None,None,67.28812922418582,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2c_trial_94_colour0_distractors0_r.png,r,2,,,,,0,16,16,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.3712755026063,None,2,1,0.5384223264409229,67.3712755026063,None,67.97219706504838,None,None,67.97219706504838,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2a_trial_63_colour0_distractors0_l.png,l,1,,,,,0,17,17,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.03883304388728,None,1,1,0.6225405349978246,68.03883304388728,None,68.72292498060268,None,None,68.72292498060268,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2c_trial_7_colour2_distractors9_r.png,r,2,,,,,0,18,18,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.789579199336,None,2,1,0.5597319568041712,68.789579199336,None,69.40676434283377,None,None,69.40676434283377,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp1a_trial_92_colour3_distractors19_l.png,l,1,,,,,0,19,19,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.47350144106895,None,1,1,0.7238970386679284,69.47350144106895,None,70.25771468910388,None,None,70.25771468910388,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2b_trial_32_colour1_distractors1_r.png,r,2,,,,,0,20,20,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.34086704748916,None,2,1,0.5846585253020748,70.34086704748916,None,70.99183022566139,None,None,70.99183022566139,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2b_trial_81_colour1_distractors9_l.png,l,1,,,,,0,21,21,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.05825052584987,None,1,1,0.6198487113579176,71.05825052584987,None,71.7425642211805,None,None,71.7425642211805,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2c_trial_77_colour3_distractors19_r.png,r,2,,,,,0,22,22,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.80915956030367,None,2,1,0.5882249036221765,71.80915956030367,None,72.4598936198512,None,None,72.4598936198512,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2a_trial_48_colour1_distractors4_l.png,l,1,,,,,0,23,23,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5265974382637,None,1,1,0.7751287271967158,72.5265974382637,None,73.36073934267041,None,None,73.36073934267041,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp1a_trial_43_colour3_distractors4_r.png,r,2,,,,,0,24,24,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.42723644239595,None,2,1,0.6429388109245338,73.42723644239595,None,74.12809755714842,None,None,74.12809755714842,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2c_trial_79_colour1_distractors1_l.png,l,1,,,,,0,25,25,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.21134655497735,None,1,1,0.6579182398854755,74.21134655497735,None,74.92891220821765,None,None,74.92891220821765,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2a_trial_42_colour3_distractors1_r.png,r,2,,,,,0,26,26,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.99559170677094,None,2,1,0.5786217619315721,74.99559170677094,None,75.62965322766685,None,None,75.62965322766685,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp1a_trial_91_colour3_distractors9_l.png,l,1,,,,,0,27,27,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.71304910467006,None,1,1,0.6048113627475686,75.71304910467006,None,76.43067821343429,None,None,76.43067821343429,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp1b_trial_14_colour3_distractors31_r.png,r,2,,,,,0,28,28,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.49698001833167,None,2,1,1.0452288450323977,76.49698001833167,None,77.59822749873855,None,None,77.59822749873855,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2a_trial_40_colour2_distractors19_r.png,r,2,,,,,0,29,29,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.68140481703449,None,2,1,0.6128887536469847,77.68140481703449,None,78.34903317384887,None,None,78.34903317384887,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2a_trial_8_colour2_distractors19_r.png,r,2,,,,,0,30,30,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.43224857188761,None,2,1,0.7730439399019815,78.43224857188761,None,79.26668295454,None,None,79.26668295454,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2a_trial_70_colour2_distractors4_r.png,r,2,,,,,0,31,31,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.33299093542155,None,2,1,0.6168996092746966,79.33299093542155,None,80.00078729118685,None,None,80.00078729118685,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
images/exp2a_trial_56_colour2_distractors31_l.png,l,1,,,,,0,32,32,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.08380109048449,None,1,1,0.5548318265937269,80.08380109048449,None,80.7013199919369,None,None,80.7013199919369,None,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
