ImageFile,targ_side,correctAnswer,n,fix.started_mean,fix.started_raw,fix.started_std,fix.stopped_raw,image.started_mean,image.started_raw,image.started_std,image.stopped_raw,key_resp_4.corr_mean,key_resp_4.corr_raw,key_resp_4.corr_std,key_resp_4.keys_raw,key_resp_4.rt_mean,key_resp_4.rt_raw,key_resp_4.rt_std,key_resp_4.started_mean,key_resp_4.started_raw,key_resp_4.started_std,key_resp_4.stopped_raw,key_resp_7.keys_raw,key_resp_7.rt_mean,key_resp_7.rt_raw,key_resp_7.rt_std,key_resp_7.started_mean,key_resp_7.started_raw,key_resp_7.started_std,key_resp_7.stopped_raw,text_4.started_mean,text_4.started_raw,text_4.started_std,text_4.stopped_raw,order
Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,2,1.0,33.23992156982422,33.23992156982422,0.0,,33.72339630126953,33.72339630126953,0.0,,1.0,1.0,0.0,'2',0.11691480875015259,0.11691480875015259,0.0,33.72339630126953,33.72339630126953,0.0,,'space',0.3762735426425934,0.3762735426425934,0.0,33.23992156982422,33.23992156982422,0.0,,33.857017517089844,33.857017517089844,0.0,,11.0
Practice arrays/exp1a_trial_3_colour1_distractors19_r.png,r,2,1.0,43.08277893066406,43.08277893066406,0.0,,43.58323669433594,43.58323669433594,0.0,,1.0,1.0,0.0,'2',0.15295490622520447,0.15295490622520447,0.0,43.58323669433594,43.58323669433594,0.0,,'space',0.37342846393585205,0.37342846393585205,0.0,43.08277893066406,43.08277893066406,0.0,,43.78355026245117,43.78355026245117,0.0,,17.0
Practice arrays/exp1a_trial_5_colour1_distractors43_r.png,r,2,1.0,24.497936248779297,24.497936248779297,0.0,,24.981515884399414,24.981515884399414,0.0,,1.0,1.0,0.0,'2',0.2826901078224182,0.2826901078224182,0.0,24.981515884399414,24.981515884399414,0.0,,'space',0.38220760226249695,0.38220760226249695,0.0,24.497936248779297,24.497936248779297,0.0,,25.298681259155273,25.298681259155273,0.0,,6.0
Practice arrays/exp1a_trial_7_colour2_distractors4_r.png,r,2,1.0,44.78462219238281,44.78462219238281,0.0,,45.15131759643555,45.15131759643555,0.0,,1.0,1.0,0.0,'2',0.1367802917957306,0.1367802917957306,0.0,45.15131759643555,45.15131759643555,0.0,,'space',0.26369982957839966,0.26369982957839966,0.0,44.78462219238281,44.78462219238281,0.0,,45.31834411621094,45.31834411621094,0.0,,18.0
Practice arrays/exp1a_trial_8_colour2_distractors9_r.png,r,2,1.0,16.356531143188477,16.356531143188477,0.0,,16.94029998779297,16.94029998779297,0.0,,1.0,1.0,0.0,'2',0.4759206175804138,0.4759206175804138,0.0,16.94029998779297,16.94029998779297,0.0,,'space',0.48365625739097595,0.48365625739097595,0.0,16.356531143188477,16.356531143188477,0.0,,17.440963745117188,17.440963745117188,0.0,,2.0
Practice arrays/exp1a_trial_10_colour2_distractors31_r.png,r,2,1.0,34.85817337036133,34.85817337036133,0.0,,35.324954986572266,35.324954986572266,0.0,,1.0,1.0,0.0,'2',0.1473555862903595,0.1473555862903595,0.0,35.324954986572266,35.324954986572266,0.0,,'space',0.35799941420555115,0.35799941420555115,0.0,34.85817337036133,34.85817337036133,0.0,,35.49190902709961,35.49190902709961,0.0,,12.0
Practice arrays/exp1a_trial_12_colour3_distractors1_r.png,r,2,1.0,46.319393157958984,46.319393157958984,0.0,,46.80294418334961,46.80294418334961,0.0,,1.0,1.0,0.0,'2',0.1733173429965973,0.1733173429965973,0.0,46.80294418334961,46.80294418334961,0.0,,'space',0.3849179744720459,0.3849179744720459,0.0,46.319393157958984,46.319393157958984,0.0,,47.003387451171875,47.003387451171875,0.0,,19.0
Practice arrays/exp1a_trial_13_colour3_distractors4_r.png,r,2,1.0,31.5716552734375,31.5716552734375,0.0,,32.088661193847656,32.088661193847656,0.0,,1.0,1.0,0.0,'2',0.10341665148735046,0.10341665148735046,0.0,32.088661193847656,32.088661193847656,0.0,,'space',0.404620885848999,0.404620885848999,0.0,31.5716552734375,31.5716552734375,0.0,,32.238704681396484,32.238704681396484,0.0,,10.0
Practice arrays/exp1a_trial_16_colour3_distractors31_r.png,r,2,1.0,13.837514877319336,13.837514877319336,0.0,,14.621249198913574,14.621249198913574,0.0,,1.0,1.0,0.0,'2',0.690989077091217,0.690989077091217,0.0,14.621249198913574,14.621249198913574,0.0,,'space',0.6747747659683228,0.6747747659683228,0.0,13.837514877319336,13.837514877319336,0.0,,15.35556697845459,15.35556697845459,0.0,,1.0
Practice arrays/exp1a_trial_19_colour1_distractors4_l.png,l,1,1.0,26.299701690673828,26.299701690673828,0.0,,26.783203125,26.783203125,0.0,,0.0,0.0,0.0,'2',0.12092950195074081,0.12092950195074081,0.0,26.783203125,26.783203125,0.0,,'space',0.37260541319847107,0.37260541319847107,0.0,26.299701690673828,26.299701690673828,0.0,,26.95030403137207,26.95030403137207,0.0,,7.0
Practice arrays/exp1a_trial_20_colour1_distractors9_l.png,l,1,1.0,39.846412658691406,39.846412658691406,0.0,,40.27992630004883,40.27992630004883,0.0,,0.0,0.0,0.0,'2',0.16022686660289764,0.16022686660289764,0.0,40.27992630004883,40.27992630004883,0.0,,'space',0.32954007387161255,0.32954007387161255,0.0,39.846412658691406,39.846412658691406,0.0,,40.46342849731445,40.46342849731445,0.0,,15.0
