ImageFile,targ_side,correctAnswer,exp,trial,colour,distNo,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image_3.started,image_3.stopped,fix.started,fix.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fix2experiment.started,fix2experiment.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,7.005663949239533,None,space,0.7530562926549464,7.973231919866521,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1650,searchDisc3,2020.2.2,59.917171245894544,
,,,,,,,,,,,,,,,,,,,,,8.757474173035007,None,space,1.2328558336012065,8.757474173035007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1650,searchDisc3,2020.2.2,59.917171245894544,
,,,,,,,,,,,,,,,,,,,,,,,,,,,10.008553523337469,None,space,0.47701684589264914,10.993322939844802,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1650,searchDisc3,2020.2.2,59.917171245894544,
Practice arrays/exp1a_trial_13_colour3_distractors4_r.png,r,2,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,10.008553523337469,None,10.008553523337469,None,11.526786319969688,None,space,1.9595050028292462,11.526786319969688,None,13.57870105485199,None,2,1,0.7718650841270573,13.57870105485199,None,14.39621532993624,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1650,searchDisc3,2020.2.2,59.917171245894544,
Practice arrays/exp1a_trial_12_colour3_distractors1_r.png,r,2,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,15.39731708006002,None,space,0.12096627615392208,15.39731708006002,None,15.61406137800077,None,2,1,0.9841617419151589,15.61406137800077,None,16.615142008347902,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1650,searchDisc3,2020.2.2,59.917171245894544,
Practice arrays/exp1a_trial_10_colour2_distractors31_r.png,r,2,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,17.616108079673722,None,space,0.5901268724701367,17.616108079673722,None,18.30003699165536,None,2,1,1.1462242898414843,18.30003699165536,None,19.46797116700327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1650,searchDisc3,2020.2.2,59.917171245894544,
Practice arrays/exp1a_trial_19_colour1_distractors4_l.png,l,1,,,,,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,20.468965398089495,None,space,0.601278132526204,20.468965398089495,None,21.152838630543556,None,1,1,0.6933656274341047,21.152838630543556,None,21.870185163163114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1650,searchDisc3,2020.2.2,59.917171245894544,
Practice arrays/exp1a_trial_32_colour3_distractors9_l.png,l,1,,,,,0,4,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,22.871306113083847,None,space,0.5669277203269303,22.871306113083847,None,23.521819324523676,None,1,1,0.6524082344258204,23.521819324523676,None,24.20582919579465,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1650,searchDisc3,2020.2.2,59.917171245894544,
Practice arrays/exp1a_trial_33_colour3_distractors19_l.png,l,1,,,,,0,5,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,25.206925505946856,None,space,0.4313334152684547,25.206925505946856,None,25.723965353274252,None,1,1,0.5942967550945468,25.723965353274252,None,26.341367181332316,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1650,searchDisc3,2020.2.2,59.917171245894544,
Practice arrays/exp1a_trial_7_colour2_distractors4_r.png,r,2,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,27.342389252211433,None,space,0.5198583820601925,27.342389252211433,None,27.9595101227751,None,2,1,0.6627063821651973,27.9595101227751,None,28.643656952830497,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1650,searchDisc3,2020.2.2,59.917171245894544,
