ImageFile,targ_side,correctAnswer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image_3.started,image_3.stopped,fix.started,fix.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fix2experiment.started,fix2experiment.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,8.873426049540285,None,space,0.19419657927937806,9.82449898699997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_2308,searchDisc3,2020.2.2,59.89736051697862,
,,,,,,,,,,,,,,,,,10.04150214762194,None,space,0.7131988637265749,10.04150214762194,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_2308,searchDisc3,2020.2.2,59.89736051697862,
,,,,,,,,,,,,,,,,,,,,,,,10.792124783853069,None,space,0.7227172058774158,11.759917299670633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_2308,searchDisc3,2020.2.2,59.89736051697862,
Practice arrays/exp1a_trial_33_colour3_distractors19_l.png,l,1,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,10.792124783853069,None,10.792124783853069,None,12.544056212122086,None,space,4.986741840606555,12.544056212122086,None,17.63199647743022,None,1,1,0.6906636407366022,17.63199647743022,None,18.383120230631903,None,,,,,,,,,,,,,,001,2020_Dec_17_2308,searchDisc3,2020.2.2,59.89736051697862,
Practice arrays/exp1a_trial_37_colour0_distractors0_l.png,l,1,0,1,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,19.384037025040016,None,space,0.5549591858871281,19.384037025040016,None,20.051304968015756,None,1,1,0.7753210460650735,20.051304968015756,None,20.852126019075513,None,,,,,,,,,,,,,,001,2020_Dec_17_2308,searchDisc3,2020.2.2,59.89736051697862,
Practice arrays/exp1a_trial_35_colour3_distractors43_l.png,l,1,0,2,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,21.85314713284606,None,space,0.605899996124208,21.85314713284606,None,22.570511731260922,None,1,1,0.8001506550936028,22.570511731260922,None,23.38811540021561,None,,,,,,,,,,,,,,001,2020_Dec_17_2308,searchDisc3,2020.2.2,59.89736051697862,
Practice arrays/exp1a_trial_8_colour2_distractors9_r.png,r,2,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,24.38903539464809,None,space,0.6935909829335287,24.38903539464809,None,25.18959692720091,None,2,1,0.6770909232436679,25.18959692720091,None,25.890452506020665,None,,,,,,,,,,,,,,001,2020_Dec_17_2308,searchDisc3,2020.2.2,59.89736051697862,
Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,2,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,26.891459219914395,None,space,0.6233059703372419,26.891459219914395,None,27.625241958478,None,2,1,0.7534517389722168,27.625241958478,None,28.409561989828944,None,,,,,,,,,,,,,,001,2020_Dec_17_2308,searchDisc3,2020.2.2,59.89736051697862,
Practice arrays/exp1a_trial_36_colour0_distractors0_r.png,r,2,0,5,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,29.410489024186973,None,space,0.6401157880900428,29.410489024186973,None,30.161290859337896,None,2,1,0.7053438714938238,30.161290859337896,None,30.895253756840248,None,,,,,,,,,,,,,,001,2020_Dec_17_2308,searchDisc3,2020.2.2,59.89736051697862,
Practice arrays/exp1a_trial_3_colour1_distractors19_r.png,r,2,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,31.896254710736685,None,space,0.546572676859796,31.896254710736685,None,32.54675123572815,None,2,1,0.5920440803747624,32.54675123572815,None,33.164282201149035,None,,,,,,,,,,,,,,001,2020_Dec_17_2308,searchDisc3,2020.2.2,59.89736051697862,
Practice arrays/exp1a_trial_21_colour1_distractors19_l.png,l,1,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,34.16539707436459,None,space,0.5894172163680196,34.16539707436459,None,34.88243975472869,None,1,1,0.6564488087897189,34.88243975472869,None,35.566652554727625,None,,,,,,,,,,,,,,001,2020_Dec_17_2308,searchDisc3,2020.2.2,59.89736051697862,
Practice arrays/exp1a_trial_32_colour3_distractors9_l.png,l,1,0,8,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,36.56762214883929,None,space,0.8351968419738114,36.56762214883929,None,37.501734549412504,None,1,1,0.7169617208419368,37.501734549412504,None,38.23584496602416,None,,,,,,,,,,,,,,001,2020_Dec_17_2308,searchDisc3,2020.2.2,59.89736051697862,
Practice arrays/exp1a_trial_28_colour2_distractors31_l.png,l,1,0,9,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,39.236947679310106,None,space,0.709738404781092,39.236947679310106,None,40.070957648567855,None,1,1,0.8438287895405665,40.070957648567855,None,40.93864869297249,None,,,,,,,,,,,,,,001,2020_Dec_17_2308,searchDisc3,2020.2.2,59.89736051697862,
Practice arrays/exp1a_trial_20_colour1_distractors9_l.png,l,1,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,41.939661166863516,None,space,1.327332409855444,41.939661166863516,None,43.374063325696625,None,1,1,0.7966281165136024,43.374063325696625,None,44.19185643346282,None,,,,,,,,,,,,,,001,2020_Dec_17_2308,searchDisc3,2020.2.2,59.89736051697862,
Practice arrays/exp1a_trial_19_colour1_distractors4_l.png,l,1,0,11,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,45.192835307563655,None,space,0.7062817858532071,45.192835307563655,None,46.01002393901581,None,1,1,0.7927215802483261,46.01002393901581,None,46.82773544732481,None,,,,,,,,,,,,,,001,2020_Dec_17_2308,searchDisc3,2020.2.2,59.89736051697862,
Practice arrays/exp1a_trial_16_colour3_distractors31_r.png,r,2,0,12,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,47.82879848085577,None,space,0.5980504438630305,47.82879848085577,None,48.529238702205475,None,2,1,0.6815414562588558,48.529238702205475,None,49.23019892035518,None,,,,,,,,,,,,,,001,2020_Dec_17_2308,searchDisc3,2020.2.2,59.89736051697862,
