ImageFile,targ_side,correctAnswer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image_3.started,image_3.stopped,fix.started,fix.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Practice arrays/exp1a_trial_33_colour3_distractors19_l.png,l,1,0,10,10,16,,,,,,,,,,,,,,,,,,,,,,,33.11807320214575,None,space,0.398932934505865,33.11807320214575,None,33.618243601114955,None,2,0,0.26669181848410517,33.618243601114955,None,33.90202203573426,None,,,,,,,,001,2020_Dec_17_2317,searchDisc3,2020.2.2,59.90930265794294,
Practice arrays/exp1a_trial_8_colour2_distractors9_r.png,r,2,0,11,11,4,,,,,,,,,,,,,,,,,,,,,,,34.90310714911902,None,space,0.3337214909843169,34.90310714911902,None,35.336590273538604,None,2,1,0.2605641757254489,35.336590273538604,None,35.62044742767466,None,,,,,,,,001,2020_Dec_17_2317,searchDisc3,2020.2.2,59.90930265794294,
Practice arrays/exp1a_trial_7_colour2_distractors4_r.png,r,2,0,12,12,3,,,,,,,,,,,,,,,,,,,,,,,36.621511101257056,None,space,0.36771648429566994,36.621511101257056,None,37.08847690210678,None,2,1,0.2602934574242681,37.08847690210678,None,37.37206621788209,None,,,,,,,,001,2020_Dec_17_2317,searchDisc3,2020.2.2,59.90930265794294,
Practice arrays/exp1a_trial_36_colour0_distractors0_r.png,r,2,0,13,13,18,,,,,,,,,,,,,,,,,,,,,,,38.373253730649594,None,space,0.42349630512762815,38.373253730649594,None,38.90673560707364,None,2,1,0.32994103396777064,38.90673560707364,None,39.25724739598809,None,,,,,,,,001,2020_Dec_17_2317,searchDisc3,2020.2.2,59.90930265794294,
Practice arrays/exp1a_trial_10_colour2_distractors31_r.png,r,2,0,14,14,5,,,,,,,,,,,,,,,,,,,,,,,40.25847842846997,None,space,5.914402440423146,40.25847842846997,None,46.28095061186468,None,2,1,0.8359197176177986,46.28095061186468,None,47.14824037870858,None,,,,,,,,001,2020_Dec_17_2317,searchDisc3,2020.2.2,59.90930265794294,
Practice arrays/exp1a_trial_32_colour3_distractors9_l.png,l,1,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,48.149548210785724,None,space,0.19956006668508053,48.149548210785724,None,48.44955342676258,None,2,0,0.5635152938193642,48.44955342676258,None,49.050232014618814,None,,,,,,,,001,2020_Dec_17_2317,searchDisc3,2020.2.2,59.90930265794294,
Practice arrays/exp1a_trial_37_colour0_distractors0_l.png,l,1,0,16,16,19,,,,,,,,,,,,,,,,,,,,,,,50.05126080836635,None,space,0.7296637236722745,50.05126080836635,None,50.885323577269446,None,2,0,0.39970348979113623,50.885323577269446,None,51.302408081362955,None,,,,,,,,001,2020_Dec_17_2317,searchDisc3,2020.2.2,59.90930265794294,
Practice arrays/exp1a_trial_12_colour3_distractors1_r.png,r,2,0,17,17,6,,,,,,,,,,,,,,,,,,,,,,,52.30356903432403,None,space,0.7893756806151941,52.30356903432403,None,53.20419555850094,None,2,1,0.44054484146181494,53.20419555850094,None,53.671516557224095,None,,,,,,,,001,2020_Dec_17_2317,searchDisc3,2020.2.2,59.90930265794294,
Practice arrays/exp1a_trial_20_colour1_distractors9_l.png,l,1,0,18,18,10,,,,,,,,,,,,,,,,,,,,,,,54.6725050311652,None,space,0.4285724342917092,54.6725050311652,None,55.20617890643189,None,2,0,0.9510441376478411,55.20617890643189,None,56.190654200850986,None,,,,,,,,001,2020_Dec_17_2317,searchDisc3,2020.2.2,59.90930265794294,
Practice arrays/exp1a_trial_3_colour1_distractors19_r.png,r,2,0,19,19,1,,,,,,,,,,,,,,,,,,,,,,,57.19171595439548,None,space,0.4449995344039053,57.19171595439548,None,57.74199132871581,None,2,1,0.6708116015070118,57.74199132871581,None,58.44287634734064,None,,,,,,,,001,2020_Dec_17_2317,searchDisc3,2020.2.2,59.90930265794294,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.54376405396033,None,space,0.17891283222706988,62.53025853604777,None,,001,2020_Dec_17_2317,searchDisc3,2020.2.2,59.90930265794294,
