ImageFile,targ_side,correctAnswer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,9.745434263371862,None,space,2.449541058333125,9.745434263371862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Oct_13_1240,searchDisc,2020.2.2,59.888923377184625,
images/exp1a_trial_20_colour2_distractors1_l.png,l,1,0,0,0,0,,,,,,,,,,,12.348011978145223,None,1,1,1.2707995735108852,12.348011978145223,None,,,,,,,,,,,,,,,,,,,,1,001,2020_Oct_13_1240,searchDisc,2020.2.2,59.888923377184625,
,,,,,,,,,,,,,,,,,,,,,,,,13.64955347427167,None,space,1.6287734206416644,18.63773785479134,None,,,,,,,,,,,,,,1,001,2020_Oct_13_1240,searchDisc,2020.2.2,59.888923377184625,
images/exp1a_trial_79_colour1_distractors1_l.png,l,1,,,,,0,0,0,79,,,,,,,,,,,,,,,,,,,,20.389212087204214,None,1,1,0.4373030409915373,20.389212087204214,None,None,None,None,None,None,,1,001,2020_Oct_13_1240,searchDisc,2020.2.2,59.888923377184625,
images/exp1a_trial_34_colour1_distractors9_r.png,r,2,,,,,0,1,1,34,,,,,,,,,,,,,,,,,,,,20.9897808523383,None,2,1,0.3488318140152842,20.9897808523383,None,None,None,None,None,None,,1,001,2020_Oct_13_1240,searchDisc,2020.2.2,59.888923377184625,
images/exp1a_trial_68_colour1_distractors31_r.png,r,2,,,,,0,2,2,68,,,,,,,,,,,,,,,,,,,,21.456922460522037,None,1,0,0.28161551809171215,21.456922460522037,None,None,None,None,None,None,,1,001,2020_Oct_13_1240,searchDisc,2020.2.2,59.888923377184625,
images/exp1a_trial_69_colour2_distractors1_r.png,r,2,,,,,0,3,3,69,,,,,,,,,,,,,,,,,,,,21.857322330528405,None,2,1,0.24141220393357798,21.857322330528405,None,None,None,None,None,None,,1,001,2020_Oct_13_1240,searchDisc,2020.2.2,59.888923377184625,
images/exp1a_trial_44_colour3_distractors9_r.png,r,2,,,,,0,4,4,44,,,,,,,,,,,,,,,,,,,,22.224333571386524,None,1,0,0.19423804548569024,22.224333571386524,None,None,None,None,None,None,,1,001,2020_Oct_13_1240,searchDisc,2020.2.2,59.888923377184625,
images/exp1a_trial_0_colour1_distractors1_r.png,r,2,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,22.541425387898926,None,2,1,0.24515298480400816,22.541425387898926,None,None,None,None,None,None,,1,001,2020_Oct_13_1240,searchDisc,2020.2.2,59.888923377184625,
images/exp1a_trial_62_colour0_distractors0_r.png,r,2,,,,,0,6,6,62,,,,,,,,,,,,,,,,,,,,22.908378389081918,None,1,0,0.2143473825417459,22.908378389081918,None,None,None,None,None,None,,1,001,2020_Oct_13_1240,searchDisc,2020.2.2,59.888923377184625,
images/exp1a_trial_95_colour0_distractors0_l.png,l,1,,,,,0,7,7,95,,,,,,,,,,,,,,,,,,,,23.241994921001606,None,2,0,0.22456845018314198,23.241994921001606,None,None,None,None,None,None,,1,001,2020_Oct_13_1240,searchDisc,2020.2.2,59.888923377184625,
