ImageFile,targ_side,correctAnswer,n,image.started_raw,image.stopped_raw,key_resp_4.corr_mean,key_resp_4.corr_raw,key_resp_4.corr_std,key_resp_4.keys_raw,key_resp_4.rt_mean,key_resp_4.rt_raw,key_resp_4.rt_std,key_resp_4.started_raw,key_resp_4.stopped_raw,key_resp_7.keys_raw,key_resp_7.rt_mean,key_resp_7.rt_raw,key_resp_7.rt_std,key_resp_7.started_raw,key_resp_7.stopped_raw,text_4.started_raw,text_4.stopped_raw,order
images/exp1a_trial_44_colour3_distractors9_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,468.0
images/exp1a_trial_45_colour3_distractors19_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,63.0
images/exp1a_trial_46_colour3_distractors31_r.png,r,2,1.0,'25.550098',,1.0,1.0,0.0,'2',0.7062674164772034,0.7062674164772034,0.0,'25.550098',,,,,,,,,,14.0
images/exp1a_trial_47_colour1_distractors1_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,147.0
images/exp1a_trial_48_colour1_distractors4_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,36.0
images/exp1a_trial_49_colour1_distractors9_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,439.0
images/exp1a_trial_50_colour1_distractors19_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,356.0
images/exp1a_trial_51_colour1_distractors31_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,420.0
images/exp1a_trial_52_colour2_distractors1_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,298.0
images/exp1a_trial_53_colour2_distractors4_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,136.0
images/exp1a_trial_54_colour2_distractors9_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,152.0
images/exp1a_trial_55_colour2_distractors19_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,185.0
images/exp1a_trial_56_colour2_distractors31_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,299.0
images/exp1a_trial_57_colour3_distractors1_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,442.0
images/exp1a_trial_58_colour3_distractors4_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,203.0
images/exp1a_trial_59_colour3_distractors9_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,369.0
