ImageFile,targ_side,correctAnswer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image_3.started,image_3.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,key_resp_7.keys,key_resp_7.started,key_resp_7.stopped,key_resp_7.rt,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/exp1a_trial_18_colour1_distractors19_l.png,l,1,0,19,19,18,,,,,,,,,,,,,,,,,,,,,213.69131646043388,None,1,1,0.6173219592892565,213.69131646043388,None,214.35878632299136,None,space,214.35878632299136,None,5.87808126420714,,,,,,,,,,,,,,,,,,,1,001,2020_Oct_14_1410,searchDisc2,2020.2.2,59.90430696679058,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.3478682989371,None,space,6.452606322651263,225.336131079006,None,,,,,,,,,,,,,1,001,2020_Oct_14_1410,searchDisc2,2020.2.2,59.90430696679058,
images/exp1b_trial_32_colour1_distractors1_r.png,r,2,,,,,0,0,0,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.94258941395674,None,2,1,1.0061308486037888,231.94258941395674,None,None,None,None,None,None,1,001,2020_Oct_14_1410,searchDisc2,2020.2.2,59.90430696679058,
images/exp2c_trial_2_colour1_distractors9_r.png,r,2,,,,,0,1,1,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.07703992555616,None,2,1,0.7276353145134635,233.07703992555616,None,None,None,None,None,None,1,001,2020_Oct_14_1410,searchDisc2,2020.2.2,59.90430696679058,
images/exp2c_trial_55_colour2_distractors19_l.png,l,1,,,,,0,2,2,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.92792068904964,None,1,1,0.8288251964258961,233.92792068904964,None,None,None,None,None,None,1,001,2020_Oct_14_1410,searchDisc2,2020.2.2,59.90430696679058,
images/exp1b_trial_46_colour3_distractors31_r.png,r,2,,,,,0,3,3,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.87887070019497,None,2,1,1.0460532042197883,234.87887070019497,None,None,None,None,None,None,1,001,2020_Oct_14_1410,searchDisc2,2020.2.2,59.90430696679058,
images/exp2b_trial_7_colour2_distractors9_r.png,r,2,,,,,0,4,4,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.0466336812242,None,2,1,0.8301359097240493,236.0466336812242,None,None,None,None,None,None,1,001,2020_Oct_14_1410,searchDisc2,2020.2.2,59.90430696679058,
images/exp2c_trial_49_colour1_distractors9_l.png,l,1,,,,,0,5,5,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.9975856123492,None,1,1,0.8312600639765151,236.9975856123492,None,None,None,None,None,None,1,001,2020_Oct_14_1410,searchDisc2,2020.2.2,59.90430696679058,
images/exp2c_trial_90_colour3_distractors4_l.png,l,1,,,,,0,6,6,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.9485049036448,None,1,1,0.7764187447610311,237.9485049036448,None,None,None,None,None,None,1,001,2020_Oct_14_1410,searchDisc2,2020.2.2,59.90430696679058,
images/exp1b_trial_62_colour0_distractors0_r.png,r,1,,,,,0,7,7,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.88296283921227,None,2,0,0.6177501170895994,238.88296283921227,None,None,None,None,None,None,1,001,2020_Oct_14_1410,searchDisc2,2020.2.2,59.90430696679058,
