ImageFile,targ_side,correctAnswer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/exp1a_trial_53_colour2_distractors4_l.png,l,1,0,0,0,53,7.3215034999884665,None,1,1,1.9350248000118881,7.3215034999884665,None,9.2833135999972,None,space,0.47731109999585897,9.2833135999972,None,26,001,2020_Oct_08_1403,searchDisc,2020.2.4,59.7634324088995,
images/exp1a_trial_59_colour3_distractors9_l.png,l,1,0,1,1,59,9.836824500001967,None,2,0,0.36372130003292114,9.836824500001967,None,10.22324550000485,None,space,0.3612052999669686,10.22324550000485,None,26,001,2020_Oct_08_1403,searchDisc,2020.2.4,59.7634324088995,
images/exp1a_trial_15_colour1_distractors1_l.png,l,1,0,2,2,15,10.635881799971685,None,2,0,0.28471719997469336,10.635881799971685,None,10.939842200023122,None,space,0.3408416999736801,10.939842200023122,None,26,001,2020_Oct_08_1403,searchDisc,2020.2.4,59.7634324088995,
images/exp1a_trial_29_colour3_distractors31_l.png,l,1,0,3,3,29,11.350020900019445,None,2,0,0.2667383999796584,11.350020900019445,None,11.639754100004211,None,space,0.2892055999254808,11.639754100004211,None,26,001,2020_Oct_08_1403,searchDisc,2020.2.4,59.7634324088995,
images/exp1a_trial_47_colour1_distractors1_l.png,l,1,0,4,4,47,12.000294100027531,None,2,0,0.2003063999582082,12.000294100027531,None,12.223311099922284,None,space,0.2574114000890404,12.223311099922284,None,26,001,2020_Oct_08_1403,searchDisc,2020.2.4,59.7634324088995,
images/exp1a_trial_31_colour0_distractors0_l.png,l,1,0,5,5,31,12.551983500015922,None,2,0,0.16869219997897744,12.551983500015922,None,12.739912300021388,None,space,0.252790900063701,12.739912300021388,None,26,001,2020_Oct_08_1403,searchDisc,2020.2.4,59.7634324088995,
images/exp1a_trial_11_colour3_distractors4_r.png,r,2,0,6,6,11,13.066980800009333,None,2,1,0.12562029995024204,13.066980800009333,None,13.222906099981628,None,space,0.21790180006064475,13.222906099981628,None,26,001,2020_Oct_08_1403,searchDisc,2020.2.4,59.7634324088995,
images/exp1a_trial_5_colour2_distractors1_r.png,r,2,0,7,7,5,13.49808009993285,None,2,1,0.14262010005768389,13.49808009993285,None,13.656205500010401,None,space,0.20848219993058592,13.656205500010401,None,26,001,2020_Oct_08_1403,searchDisc,2020.2.4,59.7634324088995,
images/exp1a_trial_21_colour2_distractors4_l.png,l,1,0,8,8,21,13.929997200029902,None,2,0,0.12686449999455363,13.929997200029902,None,14.0727827999508,None,space,0.19992260006256402,14.0727827999508,None,26,001,2020_Oct_08_1403,searchDisc,2020.2.4,59.7634324088995,
images/exp1a_trial_16_colour1_distractors4_l.png,l,1,0,9,9,16,14.331508000032045,None,2,0,0.1170826000161469,14.331508000032045,None,14.472500100033358,None,space,0.19222090009134263,14.472500100033358,None,26,001,2020_Oct_08_1403,searchDisc,2020.2.4,59.7634324088995,
images/exp1a_trial_35_colour1_distractors19_r.png,r,2,0,10,10,35,14.73429589997977,None,2,1,0.08270260004792362,14.73429589997977,None,14.839015699923038,None,space,0.19367869989946485,14.839015699923038,None,26,001,2020_Oct_08_1403,searchDisc,2020.2.4,59.7634324088995,
images/exp1a_trial_8_colour2_distractors19_r.png,r,2,0,11,11,8,15.100387300015427,None,2,1,0.08458059991244227,15.100387300015427,None,15.205769799998961,None,space,0.19493120000697672,15.205769799998961,None,26,001,2020_Oct_08_1403,searchDisc,2020.2.4,59.7634324088995,
images/exp1a_trial_34_colour1_distractors9_r.png,r,2,0,12,12,34,15.46701809996739,None,2,1,0.045528799993917346,15.46701809996739,None,15.53887799999211,None,space,0.2057075999910012,15.53887799999211,None,26,001,2020_Oct_08_1403,searchDisc,2020.2.4,59.7634324088995,
images/exp1a_trial_46_colour3_distractors31_r.png,r,2,0,13,13,46,15.818171799997799,None,2,1,0.030405799974687397,15.818171799997799,None,15.871978799928911,None,space,0.19270230003166944,15.871978799928911,None,26,001,2020_Oct_08_1403,searchDisc,2020.2.4,59.7634324088995,
images/exp1a_trial_70_colour2_distractors4_r.png,r,2,0,14,14,70,16.148588399984874,None,2,1,0.03615129995159805,16.148588399984874,None,16.205904499976896,None,space,0.17071119998581707,16.205904499976896,None,26,001,2020_Oct_08_1403,searchDisc,2020.2.4,59.7634324088995,
images/exp1a_trial_88_colour2_distractors31_l.png,l,1,0,15,15,88,16.450472399941646,None,2,0,0.0463535999879241,16.450472399941646,None,16.522447500028647,None,space,0.14230920001864433,16.522447500028647,None,26,001,2020_Oct_08_1403,searchDisc,2020.2.4,59.7634324088995,
images/exp1a_trial_83_colour1_distractors31_l.png,l,1,0,16,16,83,16.723870599991642,None,2,0,0.06106590002309531,16.723870599991642,None,16.805625299923122,None,space,0.12296790000982583,16.805625299923122,None,26,001,2020_Oct_08_1403,searchDisc,2020.2.4,59.7634324088995,
images/exp1a_trial_60_colour3_distractors19_l.png,l,1,0,17,17,60,17.000224099960178,None,2,0,0.056396699976176023,17.000224099960178,None,17.07245310000144,None,space,0.11224799999035895,17.07245310000144,None,26,001,2020_Oct_08_1403,searchDisc,2020.2.4,59.7634324088995,
