ImageFile,targ_side,correctAnswer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
images/exp1a_trial_59_colour3_distractors9_l.png,l,1,,,,,0,23,23,59,,,,,,,,,,,,,,49.08333301334642,None,2,0,0.18077059445204213,49.08333301334642,None,None,None,None,None,None,,2,001,2020_Oct_13_1228,searchDisc,2020.2.2,59.918089994065525,
images/exp1a_trial_31_colour0_distractors0_l.png,l,1,,,,,0,24,24,31,,,,,,,,,,,,,,49.38361051591346,None,1,1,0.21645265171537176,49.38361051591346,None,None,None,None,None,None,,2,001,2020_Oct_13_1228,searchDisc,2020.2.2,59.918089994065525,
images/exp1a_trial_64_colour1_distractors1_r.png,r,2,,,,,0,25,25,64,,,,,,,,,,,,,,49.71727664757054,None,2,1,0.20283960149390623,49.71727664757054,None,None,None,None,None,None,,2,001,2020_Oct_13_1228,searchDisc,2020.2.2,59.918089994065525,
images/exp1a_trial_11_colour3_distractors4_r.png,r,2,,,,,0,26,26,11,,,,,,,,,,,,,,50.05080901988549,None,1,0,0.20543286815518513,50.05080901988549,None,None,None,None,None,None,,2,001,2020_Oct_13_1228,searchDisc,2020.2.2,59.918089994065525,
images/exp1a_trial_47_colour1_distractors1_l.png,l,1,,,,,0,27,27,47,,,,,,,,,,,,,,50.38451291131787,None,2,0,0.18359457998303697,50.38451291131787,None,None,None,None,None,None,,2,001,2020_Oct_13_1228,searchDisc,2020.2.2,59.918089994065525,
images/exp1a_trial_12_colour3_distractors9_r.png,r,2,,,,,0,28,28,12,,,,,,,,,,,,,,50.684832333703525,None,1,0,0.22730667621362954,50.684832333703525,None,None,None,None,None,None,,2,001,2020_Oct_13_1228,searchDisc,2020.2.2,59.918089994065525,
images/exp1a_trial_1_colour1_distractors4_r.png,r,2,,,,,0,29,29,1,,,,,,,,,,,,,,51.051820214721374,None,2,1,0.172162318485789,51.051820214721374,None,None,None,None,None,None,,2,001,2020_Oct_13_1228,searchDisc,2020.2.2,59.918089994065525,
images/exp1a_trial_66_colour1_distractors9_r.png,r,2,,,,,0,30,30,66,,,,,,,,,,,,,,51.35215819696896,None,1,0,0.2399626113474369,51.35215819696896,None,None,None,None,None,None,,2,001,2020_Oct_13_1228,searchDisc,2020.2.2,59.918089994065525,
images/exp1a_trial_49_colour1_distractors9_l.png,l,1,,,,,0,31,31,49,,,,,,,,,,,,,,51.71933903702302,None,2,0,0.1607284570345655,51.71933903702302,None,None,None,None,None,None,,2,001,2020_Oct_13_1228,searchDisc,2020.2.2,59.918089994065525,
images/exp1a_trial_90_colour3_distractors4_l.png,l,1,,,,,0,32,32,90,,,,,,,,,,,,,,52.00275518593844,None,1,1,0.2215044658514671,52.00275518593844,None,None,None,None,None,None,,2,001,2020_Oct_13_1228,searchDisc,2020.2.2,59.918089994065525,
images/exp1a_trial_36_colour1_distractors31_r.png,r,2,,,,,0,33,33,36,,,,,,,,,,,,,,52.35314123192802,None,2,1,0.1989877811865881,52.35314123192802,None,None,None,None,None,None,,2,001,2020_Oct_13_1228,searchDisc,2020.2.2,59.918089994065525,
images/exp1a_trial_13_colour3_distractors19_r.png,r,2,,,,,0,34,34,13,,,,,,,,,,,,,,52.670082329190336,None,1,0,0.24215876014204696,52.670082329190336,None,None,None,None,None,None,,2,001,2020_Oct_13_1228,searchDisc,2020.2.2,59.918089994065525,
images/exp1a_trial_8_colour2_distractors19_r.png,r,2,,,,,0,35,35,8,,,,,,,,,,,,,,53.03711117000785,None,2,1,0.20321591955143958,53.03711117000785,None,None,None,None,None,None,,2,001,2020_Oct_13_1228,searchDisc,2020.2.2,59.918089994065525,
images/exp1a_trial_62_colour0_distractors0_r.png,r,2,,,,,0,36,36,62,,,,,,,,,,,,,,53.370895061059855,None,1,0,0.21317746851127595,53.370895061059855,None,None,None,None,None,None,,2,001,2020_Oct_13_1228,searchDisc,2020.2.2,59.918089994065525,
images/exp1a_trial_41_colour2_distractors31_r.png,r,2,,,,,0,37,37,41,,,,,,,,,,,,,,53.70462903229054,None,2,1,0.14352726517245173,53.70462903229054,None,None,None,None,None,None,,2,001,2020_Oct_13_1228,searchDisc,2020.2.2,59.918089994065525,
,,,,,,,,,,,,,,,,,,,,,,,,53.971557265671436,None,1,1,0.28455886302981526,53.971557265671436,None,,,,,,,,,,,,,
