ImageFile,targ_side,correctAnswer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
images/exp1a_trial_64_colour1_distractors1_r.png,r,2,0,85,85,64,70.32342559995595,None,2,1,0.17099130002316087,70.32342559995595,None,None,None,None,None,None,,10,001,2020_Oct_08_1413,searchDisc,2020.2.4,59.84017887331191,
images/exp1a_trial_0_colour1_distractors1_r.png,r,2,0,86,86,0,70.56199309998192,None,2,1,0.16439040005207062,70.56199309998192,None,None,None,None,None,None,,10,001,2020_Oct_08_1413,searchDisc,2020.2.4,59.84017887331191,
images/exp1a_trial_75_colour3_distractors4_r.png,r,2,0,87,87,75,70.79140489990823,None,2,1,0.15896650007925928,70.79140489990823,None,None,None,None,None,None,,10,001,2020_Oct_08_1413,searchDisc,2020.2.4,59.84017887331191,
images/exp1a_trial_56_colour2_distractors31_l.png,l,1,0,88,88,56,71.01146309997421,None,2,0,0.1708425999386236,71.01146309997421,None,None,None,None,None,None,,10,001,2020_Oct_08_1413,searchDisc,2020.2.4,59.84017887331191,
images/exp1a_trial_73_colour2_distractors31_r.png,r,2,0,89,89,73,71.24824290000834,None,2,1,0.16623319999780506,71.24824290000834,None,None,None,None,None,None,,10,001,2020_Oct_08_1413,searchDisc,2020.2.4,59.84017887331191,
images/exp1a_trial_23_colour2_distractors19_l.png,l,1,0,90,90,23,71.47620629996527,None,2,0,0.14614970004186034,71.47620629996527,None,None,None,None,None,None,,10,001,2020_Oct_08_1413,searchDisc,2020.2.4,59.84017887331191,
images/exp1a_trial_41_colour2_distractors31_r.png,r,2,0,91,91,41,71.69121009996161,None,2,1,0.15504220000002533,71.69121009996161,None,None,None,None,None,None,,10,001,2020_Oct_08_1413,searchDisc,2020.2.4,59.84017887331191,
images/exp1a_trial_85_colour2_distractors4_l.png,l,1,0,92,92,85,71.9107922000112,None,2,0,0.13544950005598366,71.9107922000112,None,None,None,None,None,None,,10,001,2020_Oct_08_1413,searchDisc,2020.2.4,59.84017887331191,
images/exp1a_trial_35_colour1_distractors19_r.png,r,2,0,93,93,35,72.11138809996191,None,2,1,0.2388867000117898,72.11138809996191,None,None,None,None,None,None,,10,001,2020_Oct_08_1413,searchDisc,2020.2.4,59.84017887331191,
images/exp1a_trial_8_colour2_distractors19_r.png,r,2,0,94,94,8,72.42672629992012,None,2,1,0.08376299997325987,72.42672629992012,None,None,None,None,None,None,,10,001,2020_Oct_08_1413,searchDisc,2020.2.4,59.84017887331191,
images/exp1a_trial_7_colour2_distractors9_r.png,r,2,0,95,95,7,72.57748819992412,None,2,1,0.18887309997808188,72.57748819992412,None,None,None,None,None,None,,10,001,2020_Oct_08_1413,searchDisc,2020.2.4,59.84017887331191,
